number;floor;room#;type;size;service_time;duration;interval;
0;1;0;0;0;0;1000;0;
1;14;3;0;1;1;29.53943422855738;0; 
2;2;23;1;1;1;55.7321983119251;1.09; 
3;6;22;0;1;1;34.9765561304596;1.09; 
4;4;8;1;1;1;53.754990533107474;1.09; 
5;6;10;0;1;1;65.79732539737626;1.09; 
6;2;15;1;1;1;32.7335271755905;1.09; 
7;8;9;0;2;1;49.225344457312204;1.1; 
8;3;5;1;1;1;55.57016726167763;1.09; 
9;13;9;0;1;1;64.01276376198757;1.09; 
10;2;8;1;2;1;52.554491506391116;1.09; 
11;15;14;0;1;1;59.118817472025114;1.09; 
12;3;13;1;2;1;56.08436822657919;1.09; 
13;15;6;0;2;1;67.49807643744035;1.09; 
14;4;9;1;2;1;64.69995035265478;1.09; 
15;8;21;0;2;1;73.46341171247715;1.09; 
16;3;3;1;1;1;54.648699806587786;1.09; 
17;11;12;0;1;1;70.24414247624387;1.09; 
18;4;10;1;1;1;50.94457015843372;1.1; 
19;5;10;0;1;1;79.06503372226157;1.09; 
20;4;24;1;2;1;52.9177223538414;1.09; 
21;7;8;0;1;1;65.89632214342848;1.09; 
22;4;19;1;1;1;52.91443574033454;1.09; 
23;12;2;0;1;1;72.65275385576314;1.09; 
24;2;14;1;1;1;74.0360203171838;1.09; 
25;16;16;0;1;1;84.56787610884646;1.09; 
26;3;16;1;1;1;68.40858486183073;1.09; 
27;6;11;0;1;1;69.9008370715469;1.09; 
28;2;3;1;2;1;69.53343175003238;1.09; 
29;6;12;0;1;1;78.14006183799643;1.1; 
30;3;23;1;1;1;63.18945028403846;1.09; 
31;12;18;0;2;1;73.5511833327617;1.09; 
32;2;24;1;2;1;74.21671832095097;1.09; 
33;10;14;0;1;1;89.1274659921616;1.09; 
34;3;15;1;1;1;77.04621917816124;1.09; 
35;12;19;0;1;1;79.92472058515966;1.09; 
36;4;12;1;1;1;89.43735799080054;1.09; 
37;5;7;0;2;1;68.21690471155638;1.09; 
38;4;16;1;1;1;73.13722776719618;1.09; 
39;14;20;0;1;1;91.06675807062987;1.09; 
40;2;22;1;1;1;77.92817504303353;1.1; 
41;10;16;0;1;1;83.14816747669724;1.09; 
42;2;21;1;1;1;76.4875718377067;1.09; 
43;14;6;0;1;1;93.90709261074102;1.09; 
44;4;6;1;1;1;94.5844083816346;1.09; 
45;13;16;0;1;1;87.07248227133095;1.09; 
46;3;14;1;1;1;74.36574448485919;1.09; 
47;5;22;0;1;1;94.5388747353256;1.09; 
48;2;16;1;2;1;95.54976379348558;1.09; 
49;16;5;0;1;1;99.75853572982824;1.09; 
50;3;1;1;2;1;90.95879074645623;1.09; 
51;6;7;0;2;1;100.20767449625386;1.1; 
52;4;2;1;1;1;89.59152910197759;1.09; 
53;6;24;0;1;1;88.3452146430436;1.09; 
54;3;11;1;1;1;104.95231658210028;1.09; 
55;7;3;0;1;1;89.6799204858731;1.09; 
56;2;19;1;2;1;103.93666440192382;1.09; 
57;13;8;0;1;1;112.0340305277557;1.09; 
58;3;10;1;1;1;113.55036743503913;1.09; 
59;7;12;0;1;1;96.114430651372;1.09; 
60;4;22;1;1;1;104.60973686766997;1.09; 
61;6;9;0;1;1;97.41672458680932;1.09; 
62;4;15;1;1;1;130.5560485722675;1.1; 
63;9;11;0;1;1;107.07765380339038;1.09; 
64;3;7;1;1;1;112.73175282072799;1.09; 
65;12;12;0;2;1;98.82171935298523;1.09; 
66;3;9;1;1;1;94.11960139352058;1.09; 
67;6;19;0;1;1;107.95405465034005;1.09; 
