number	floor	room#	type	size	duration(TW)
1	2	24	3	1	10
2	4	14	1	1	5
3	2	31	4	1	15
4	4	32	2	2	5
5	4	20	2	2	5
6	3	14	2	2	5
7	2	30	2	2	5
8	3	29	2	2	5
9	2	24	2	2	5
10	3	14	2	2	5
11	3	27	4	1	15
12	4	1	3	1	10
13	3	7	1	1	5
14	4	28	4	1	15
15	4	11	3	1	10
16	3	18	1	1	5
17	3	8	4	1	15
18	2	25	4	1	15
19	4	15	1	1	5
20	4	20	2	2	5
21	3	18	1	1	5
22	4	7	4	1	15
23	2	27	3	1	10
24	4	8	1	1	5
25	4	26	2	2	5
26	2	19	4	1	15
27	3	3	3	1	10
28	4	32	4	1	15
29	4	7	4	1	15
30	4	31	1	1	5
31	4	1	4	1	15
32	4	20	1	1	5
33	3	1	2	2	5
34	4	8	3	1	10
35	3	13	3	1	10
36	4	11	4	1	15
37	2	5	3	1	10
38	4	13	4	1	15
39	2	26	2	2	5
40	4	27	3	1	10
41	4	8	4	1	15
42	3	9	4	1	15
43	2	17	2	2	5
44	2	13	4	1	15
45	3	14	4	1	15
46	2	15	2	2	5
47	3	6	3	1	10
48	3	29	2	2	5
49	3	22	3	1	10
50	3	4	1	1	5
51	4	12	3	1	10
52	2	25	1	1	5
53	2	26	4	1	15
54	4	30	4	1	15
55	2	6	3	1	10
56	3	22	1	1	5
57	3	26	4	1	15
58	5	6	4	1	15
59	5	1	3	1	10
60	5	9	3	1	10
61	9	13	2	2	5
62	6	32	4	1	15
63	6	14	4	1	15
64	5	9	2	2	5
65	8	17	3	1	10
66	10	15	1	1	5
67	5	12	4	1	15
68	6	21	2	2	5
69	10	3	3	1	10
70	9	11	2	2	5
71	8	7	1	1	5
72	10	21	1	1	5
73	8	15	1	1	5
74	7	30	4	1	15
75	6	30	2	2	5
76	10	23	1	1	5
77	10	11	2	2	5
78	6	15	2	2	5
79	7	6	2	2	5
80	7	24	1	1	5
81	10	8	3	1	10
82	5	7	3	1	10
83	8	2	1	1	5
84	9	22	4	1	15
85	6	6	3	1	10
86	10	26	2	2	5
87	7	4	3	1	10
88	7	11	1	1	5
89	5	10	2	2	5
90	10	5	3	1	10
91	6	23	1	1	5
92	5	28	2	2	5
93	7	22	1	1	5
94	6	32	4	1	15
95	7	23	2	2	5
96	9	23	1	1	5
97	10	7	1	1	5
98	10	4	4	1	15
99	10	23	2	2	5
100	8	26	4	1	15
101	8	19	4	1	15
102	9	30	3	1	10
103	7	31	2	2	5
104	5	32	3	1	10
105	7	19	4	1	15
106	7	3	3	1	10
107	10	9	4	1	15
108	8	18	1	1	5
109	9	27	4	1	15
110	6	2	4	1	15
111	9	3	3	1	10
112	6	16	4	1	15
113	7	10	4	1	15
114	9	24	1	1	5
115	5	19	1	1	5
116	5	8	1	1	5
117	6	24	1	1	5
118	9	11	3	1	10
119	8	1	3	1	10
120	6	14	2	2	5
121	13	12	4	1	15
122	12	27	3	1	10
123	11	2	4	1	15
124	12	14	3	1	10
125	12	21	3	1	10
126	11	5	4	1	15
127	13	24	3	1	10
128	14	6	3	1	10
129	11	21	2	2	5
130	11	4	1	1	5
131	11	20	4	1	15
132	14	23	1	1	5
133	12	21	4	1	15
134	11	27	2	2	5
135	13	21	2	2	5
136	11	10	2	2	5
137	13	21	4	1	15
138	11	9	3	1	10
139	14	2	2	2	5
140	11	3	4	1	15
141	13	20	2	2	5
142	12	3	4	1	15
143	12	12	2	2	5
144	11	14	1	1	5
145	11	7	4	1	15
146	12	15	3	1	10
147	12	5	3	1	10
148	11	7	4	1	15
149	14	13	4	1	15
150	12	7	2	2	5
151	12	20	2	2	5
152	13	12	1	1	5
153	12	3	3	1	10
154	16	19	1	1	5
155	16	2	1	1	5
156	17	19	1	1	5
157	17	15	2	2	5
158	15	12	4	1	15
159	15	19	1	1	5
160	15	6	3	1	10
161	16	10	4	1	15
162	15	8	1	1	5
163	17	9	2	2	5
164	16	18	1	1	5
165	16	5	2	2	5
166	16	7	2	2	5
167	17	12	1	1	5
168	15	6	2	2	5
169	17	16	3	1	10
