number	floor	room#	type	size	duration(TW)
1	4	13	3	1	10
2	4	5	2	2	5
3	4	20	2	2	5
4	4	18	1	1	5
5	4	26	4	1	15
6	2	17	1	1	5
7	4	12	1	1	5
8	2	13	4	1	15
9	2	32	3	1	10
10	2	16	2	2	5
11	4	3	4	1	15
12	2	29	4	1	15
13	3	10	1	1	5
14	3	29	2	2	5
15	2	28	4	1	15
16	2	18	4	1	15
17	3	30	4	1	15
18	2	26	4	1	15
19	2	6	2	2	5
20	2	29	4	1	15
21	2	16	2	2	5
22	4	29	3	1	10
23	2	30	2	2	5
24	2	17	1	1	5
25	4	6	2	2	5
26	3	16	1	1	5
27	3	14	1	1	5
28	4	13	1	1	5
29	3	32	1	1	5
30	2	24	3	1	10
31	3	2	2	2	5
32	2	26	4	1	15
33	3	28	2	2	5
34	2	28	4	1	15
35	2	16	2	2	5
36	4	29	3	1	10
37	2	8	2	2	5
38	4	12	3	1	10
39	2	21	4	1	15
40	2	18	2	2	5
41	3	1	1	1	5
42	3	11	1	1	5
43	2	15	1	1	5
44	4	5	2	2	5
45	4	13	4	1	15
46	4	26	2	2	5
47	4	28	2	2	5
48	3	32	2	2	5
49	3	2	2	2	5
50	4	4	4	1	15
51	2	21	3	1	10
52	3	28	2	2	5
53	3	13	1	1	5
54	2	24	1	1	5
55	2	10	3	1	10
56	2	30	4	1	15
57	2	12	3	1	10
58	2	29	3	1	10
59	3	31	1	1	5
60	3	12	2	2	5
61	3	9	2	2	5
62	3	4	4	1	15
63	3	24	3	1	10
64	4	24	4	1	15
65	4	26	4	1	15
66	3	9	2	2	5
67	4	18	4	1	15
68	3	26	2	2	5
69	2	4	4	1	15
70	2	32	3	1	10
71	2	9	3	1	10
72	3	6	2	2	5
73	4	4	4	1	15
74	4	21	1	1	5
75	6	31	4	1	15
76	6	30	3	1	10
77	6	29	2	2	5
78	6	22	3	1	10
79	9	7	2	2	5
80	10	32	1	1	5
81	5	26	4	1	15
82	9	18	4	1	15
83	6	22	2	2	5
84	7	9	3	1	10
85	6	23	1	1	5
86	7	9	2	2	5
87	6	31	2	2	5
88	10	4	4	1	15
89	10	1	1	1	5
90	5	15	3	1	10
91	10	28	1	1	5
92	6	25	4	1	15
93	5	10	1	1	5
94	5	17	1	1	5
95	6	7	4	1	15
96	10	6	3	1	10
97	7	25	3	1	10
98	8	31	2	2	5
99	9	15	1	1	5
100	6	15	2	2	5
101	6	18	3	1	10
102	10	5	3	1	10
103	5	25	2	2	5
104	6	21	2	2	5
105	8	21	4	1	15
106	6	11	3	1	10
107	5	5	3	1	10
108	6	4	3	1	10
109	5	7	4	1	15
110	10	15	1	1	5
111	8	32	1	1	5
112	9	31	2	2	5
113	6	16	4	1	15
114	7	16	1	1	5
115	9	10	1	1	5
116	7	7	2	2	5
117	8	16	3	1	10
118	9	30	4	1	15
119	8	8	2	2	5
120	10	7	4	1	15
121	10	32	2	2	5
122	5	20	3	1	10
123	9	10	3	1	10
124	6	5	4	1	15
125	5	18	2	2	5
126	9	21	4	1	15
127	8	13	1	1	5
128	7	27	3	1	10
129	14	1	1	1	5
130	12	27	4	1	15
131	14	15	3	1	10
132	11	3	3	1	10
133	13	19	1	1	5
134	11	24	3	1	10
135	12	4	3	1	10
136	14	13	2	2	5
137	13	11	1	1	5
138	14	12	1	1	5
139	14	7	3	1	10
140	12	9	3	1	10
141	11	14	2	2	5
142	12	3	2	2	5
143	12	25	1	1	5
144	12	19	2	2	5
145	13	22	3	1	10
146	12	24	1	1	5
147	14	3	3	1	10
148	12	25	1	1	5
149	11	17	1	1	5
150	13	24	2	2	5
151	14	6	3	1	10
152	12	19	3	1	10
153	11	4	2	2	5
154	13	20	3	1	10
155	11	18	4	1	15
156	13	19	1	1	5
157	17	19	4	1	15
158	15	18	1	1	5
159	16	7	3	1	10
160	16	6	4	1	15
161	17	16	3	1	10
162	17	15	4	1	15
163	15	15	4	1	15
164	15	15	4	1	15
165	17	13	1	1	5
166	15	2	1	1	5
167	17	11	2	2	5
168	16	3	3	1	10
169	16	18	1	1	5
