number	floor	room#	type	size	duration(TW)
1	4	6	2	2	5
2	3	27	1	1	5
3	2	32	2	2	5
4	3	6	1	1	5
5	2	6	4	1	15
6	2	17	2	2	5
7	2	8	3	1	10
8	2	21	3	1	10
9	4	4	1	1	5
10	4	26	1	1	5
11	3	28	1	1	5
12	3	29	4	1	15
13	3	22	1	1	5
14	3	20	3	1	10
15	3	11	3	1	10
16	4	1	3	1	10
17	3	30	3	1	10
18	3	30	4	1	15
19	4	15	2	2	5
20	4	8	3	1	10
21	3	21	3	1	10
22	4	2	3	1	10
23	4	10	4	1	15
24	7	23	2	2	5
25	8	7	4	1	15
26	10	6	3	1	10
27	8	1	3	1	10
28	8	6	1	1	5
29	10	20	4	1	15
30	6	9	2	2	5
31	7	28	3	1	10
32	8	26	1	1	5
33	7	29	1	1	5
34	6	18	4	1	15
35	10	13	4	1	15
36	9	20	1	1	5
37	8	27	2	2	5
38	5	3	4	1	15
39	9	15	1	1	5
40	8	32	2	2	5
41	9	2	2	2	5
42	5	3	3	1	10
43	8	28	3	1	10
44	6	14	2	2	5
45	7	32	1	1	5
46	8	9	4	1	15
47	6	16	1	1	5
48	9	21	4	1	15
49	5	8	3	1	10
50	9	3	4	1	15
51	9	9	4	1	15
52	8	2	3	1	10
53	8	15	3	1	10
54	10	7	3	1	10
55	6	4	3	1	10
56	10	30	3	1	10
57	7	8	4	1	15
58	7	31	4	1	15
59	7	26	2	2	5
60	6	28	3	1	10
61	10	23	2	2	5
62	7	11	2	2	5
63	6	23	3	1	10
64	10	22	1	1	5
65	8	22	4	1	15
66	6	6	4	1	15
67	10	29	3	1	10
68	6	16	4	1	15
69	9	14	2	2	5
70	10	20	2	2	5
71	9	31	1	1	5
72	8	19	1	1	5
73	8	30	1	1	5
74	5	9	1	1	5
75	8	4	2	2	5
76	8	10	2	2	5
77	5	29	3	1	10
78	8	20	3	1	10
79	7	24	1	1	5
80	5	32	3	1	10
81	8	19	2	2	5
82	10	28	2	2	5
83	5	30	1	1	5
84	5	19	1	1	5
85	6	8	2	2	5
86	8	1	2	2	5
87	5	4	4	1	15
88	6	12	1	1	5
89	7	10	1	1	5
90	6	1	1	1	5
91	7	17	1	1	5
92	5	22	2	2	5
93	7	30	4	1	15
94	10	9	3	1	10
95	9	26	3	1	10
96	9	6	2	2	5
97	6	9	3	1	10
98	7	23	1	1	5
99	6	6	3	1	10
100	9	20	3	1	10
101	7	32	3	1	10
102	8	13	1	1	5
103	7	1	3	1	10
104	8	8	2	2	5
105	10	14	3	1	10
106	7	12	4	1	15
107	14	11	2	2	5
108	14	7	3	1	10
109	13	7	4	1	15
110	11	18	4	1	15
111	11	3	3	1	10
112	14	28	1	1	5
113	13	7	2	2	5
114	13	9	4	1	15
115	12	19	2	2	5
116	11	17	4	1	15
117	14	10	2	2	5
118	12	12	4	1	15
119	14	4	4	1	15
120	14	23	4	1	15
121	12	26	1	1	5
122	11	20	3	1	10
123	14	8	3	1	10
124	12	27	4	1	15
125	13	16	3	1	10
126	14	13	1	1	5
127	12	2	2	2	5
128	11	26	2	2	5
129	14	19	1	1	5
130	13	3	4	1	15
131	11	5	4	1	15
132	14	5	4	1	15
133	11	12	4	1	15
134	14	26	2	2	5
135	13	25	4	1	15
136	11	7	3	1	10
137	13	2	1	1	5
138	13	15	3	1	10
139	12	26	2	2	5
140	12	16	1	1	5
141	13	3	1	1	5
142	13	27	3	1	10
143	13	15	2	2	5
144	13	8	1	1	5
145	12	18	3	1	10
146	12	19	1	1	5
147	14	6	4	1	15
148	11	27	4	1	15
149	14	6	4	1	15
150	17	2	4	1	15
151	15	11	3	1	10
152	16	11	3	1	10
153	15	3	3	1	10
154	17	20	1	1	5
155	15	19	3	1	10
156	15	10	3	1	10
157	15	15	3	1	10
158	16	18	1	1	5
159	15	8	3	1	10
160	17	3	3	1	10
161	15	1	3	1	10
162	16	2	1	1	5
163	17	12	4	1	15
164	15	8	3	1	10
165	16	19	4	1	15
166	17	15	1	1	5
167	15	12	2	2	5
168	15	16	1	1	5
169	16	15	1	1	5
