number;floor;room#;type;size;service_time;duration;interval;
0;1;0;0;0;0;1000;0;
1;8;23;0;1;1;24.397682337523378;0; 
2;4;9;1;1;1;28.069560773275942;1.09; 
3;8;16;0;1;1;39.776386142872745;1.09; 
4;2;23;1;1;1;41.771486614820944;1.09; 
5;16;15;0;2;1;41.367224674264364;1.09; 
6;2;18;1;1;1;37.604489788817766;1.09; 
7;15;3;0;2;1;45.59278956966648;1.1; 
8;4;24;1;1;1;39.620303807821564;1.09; 
9;7;22;0;1;1;41.255715811714936;1.09; 
10;3;22;1;2;1;63.72422956970518;1.09; 
11;7;9;0;2;1;43.05999818864768;1.09; 
12;3;18;1;1;1;33.39384440462779;1.09; 
13;8;9;0;1;1;72.65420318000673;1.09; 
14;2;4;1;2;1;59.13000721196094;1.09; 
15;6;21;0;2;1;59.0537706057966;1.09; 
16;4;14;1;1;1;52.66706143966852;1.09; 
17;14;3;0;1;1;55.59343156587482;1.09; 
18;3;5;1;1;1;68.26159645507273;1.1; 
19;12;12;0;1;1;51.48534045361987;1.09; 
20;2;9;1;1;1;49.182392815027185;1.09; 
21;6;13;0;1;1;74.95772337240408;1.09; 
22;2;12;1;1;1;78.69785468533969;1.09; 
23;13;2;0;2;1;49.8658367352089;1.09; 
24;3;1;1;1;1;48.86609647942042;1.09; 
25;13;13;0;1;1;67.97899949500206;1.09; 
26;4;15;1;2;1;67.56716866708844;1.09; 
27;10;1;0;2;1;62.04079663931955;1.09; 
28;2;19;1;1;1;80.74271083815471;1.09; 
29;10;11;0;1;1;55.32330299940969;1.1; 
30;3;20;1;2;1;58.99725364579249;1.09; 
31;14;17;0;1;1;84.67124566109263;1.09; 
32;3;9;1;1;1;69.74927648574172;1.09; 
33;6;15;0;1;1;68.20272511866597;1.09; 
34;4;17;1;1;1;84.11681889019593;1.09; 
35;5;24;0;1;1;85.53688467822269;1.09; 
36;3;11;1;1;1;83.3247770809611;1.09; 
37;11;19;0;2;1;75.46614073790278;1.09; 
38;4;22;1;1;1;75.89118060726156;1.09; 
39;5;15;0;1;1;65.8508364671198;1.09; 
40;3;24;1;2;1;69.97848128127498;1.1; 
41;9;18;0;1;1;85.47861965885832;1.09; 
42;3;14;1;1;1;68.5518021636903;1.09; 
43;13;14;0;1;1;75.02109689102733;1.09; 
44;2;17;1;1;1;94.77709174305957;1.09; 
45;12;20;0;1;1;101.4013952334412;1.09; 
46;2;20;1;1;1;77.84118469570501;1.09; 
47;16;1;0;1;1;99.68869460405486;1.09; 
48;4;4;1;1;1;111.33567169021904;1.09; 
49;8;13;0;1;1;94.51593413771661;1.09; 
50;4;10;1;1;1;109.19980977726638;1.09; 
51;9;2;0;1;1;101.99081589868574;1.1; 
52;2;3;1;1;1;107.4082804586119;1.09; 
53;10;8;0;1;1;93.4361356000292;1.09; 
54;3;16;1;1;1;105.71488941714922;1.09; 
55;12;11;0;1;1;87.500374297179;1.09; 
56;2;16;1;1;1;107.46502246654299;1.09; 
57;12;14;0;1;1;118.80946769256565;1.09; 
58;3;17;1;2;1;94.48191970840179;1.09; 
59;12;9;0;2;1;86.83817197882728;1.09; 
60;3;4;1;1;1;101.05519834128589;1.09; 
61;12;8;0;2;1;87.03013035265897;1.09; 
62;4;1;1;1;1;113.4851062543813;1.1; 
63;10;10;0;1;1;118.14814531494972;1.09; 
64;4;5;1;1;1;118.80016066112873;1.09; 
65;6;12;0;1;1;109.83433837908427;1.09; 
66;2;24;1;1;1;112.01063354857021;1.09; 
67;6;9;0;1;1;98.19507172952105;1.09; 
68;3;21;1;2;1;117.1447722784655;1.09; 
69;12;3;0;1;1;111.70996835201294;1.09; 
70;4;18;1;1;1;114.37293911114688;1.09; 
71;16;5;0;1;1;102.86588927450492;1.09; 
72;3;7;1;2;1;147.27788473583217;1.09; 
73;7;16;0;1;1;133.2589385789482;1.1; 
74;4;2;1;1;1;126.18449811492869;1.09; 
75;10;17;0;2;1;131.73624380643616;1.09; 
76;4;12;1;2;1;120.36859674388441;1.09; 
