number	floor	room#	type	size	duration(TW)
1	4	9	2	2	5
2	3	8	4	1	15
3	4	18	1	1	5
4	4	10	4	1	15
5	2	9	2	2	5
6	2	2	2	2	5
7	3	10	4	1	15
8	4	29	2	2	5
9	2	3	4	1	15
10	4	29	2	2	5
11	3	24	4	1	15
12	3	12	3	1	10
13	4	26	1	1	5
14	2	8	3	1	10
15	3	24	2	2	5
16	2	32	3	1	10
17	2	14	2	2	5
18	4	10	1	1	5
19	3	22	3	1	10
20	2	13	4	1	15
21	3	25	2	2	5
22	2	30	4	1	15
23	3	6	4	1	15
24	4	1	4	1	15
25	4	26	2	2	5
26	3	32	4	1	15
27	2	16	2	2	5
28	3	23	3	1	10
29	4	28	4	1	15
30	2	12	3	1	10
31	3	8	2	2	5
32	3	9	1	1	5
33	2	9	1	1	5
34	4	23	2	2	5
35	4	20	1	1	5
36	3	1	2	2	5
37	2	25	2	2	5
38	2	22	4	1	15
39	4	25	1	1	5
40	2	17	3	1	10
41	5	24	1	1	5
42	8	9	4	1	15
43	8	20	2	2	5
44	6	14	4	1	15
45	7	4	2	2	5
46	8	3	4	1	15
47	5	26	3	1	10
48	6	16	3	1	10
49	8	20	4	1	15
50	8	6	2	2	5
51	9	29	2	2	5
52	7	11	4	1	15
53	10	5	4	1	15
54	10	13	3	1	10
55	7	18	1	1	5
56	5	25	4	1	15
57	10	13	4	1	15
58	8	20	1	1	5
59	9	28	2	2	5
60	8	27	4	1	15
61	10	16	1	1	5
62	9	1	1	1	5
63	10	30	3	1	10
64	6	21	4	1	15
65	10	11	4	1	15
66	8	32	1	1	5
67	8	24	1	1	5
68	6	2	1	1	5
69	5	24	1	1	5
70	6	19	2	2	5
71	9	25	4	1	15
72	9	15	4	1	15
73	6	21	3	1	10
74	9	14	1	1	5
75	7	18	1	1	5
76	8	25	3	1	10
77	5	25	4	1	15
78	5	11	1	1	5
79	5	7	2	2	5
80	5	1	4	1	15
81	8	16	3	1	10
82	7	14	4	1	15
83	10	16	2	2	5
84	5	10	1	1	5
85	6	28	1	1	5
86	7	17	1	1	5
87	10	4	2	2	5
88	6	24	1	1	5
89	7	25	3	1	10
90	10	9	2	2	5
91	6	24	3	1	10
92	8	11	3	1	10
93	10	9	1	1	5
94	8	30	4	1	15
95	5	1	4	1	15
96	8	20	2	2	5
97	8	8	1	1	5
98	9	9	4	1	15
99	5	20	1	1	5
100	7	12	1	1	5
101	5	15	2	2	5
102	10	24	3	1	10
103	10	14	4	1	15
104	7	27	4	1	15
105	6	6	3	1	10
106	5	26	3	1	10
107	8	32	4	1	15
108	9	25	4	1	15
109	7	5	2	2	5
110	10	27	2	2	5
111	9	22	4	1	15
112	10	22	4	1	15
113	6	26	1	1	5
114	12	23	3	1	10
115	14	14	4	1	15
116	14	23	1	1	5
117	13	21	2	2	5
118	14	16	1	1	5
119	12	19	3	1	10
120	13	12	3	1	10
121	11	4	1	1	5
122	13	10	3	1	10
123	12	4	2	2	5
124	11	4	4	1	15
125	13	8	2	2	5
126	11	25	1	1	5
127	14	23	3	1	10
128	12	7	1	1	5
129	11	19	4	1	15
130	13	8	1	1	5
131	11	7	4	1	15
132	11	25	4	1	15
133	14	23	4	1	15
134	11	17	2	2	5
135	14	20	1	1	5
136	14	5	2	2	5
137	13	11	3	1	10
138	13	28	3	1	10
139	13	15	1	1	5
140	11	13	1	1	5
141	13	22	2	2	5
142	14	27	3	1	10
143	11	15	3	1	10
144	11	7	2	2	5
145	11	8	2	2	5
146	13	1	3	1	10
147	13	23	2	2	5
148	11	3	4	1	15
149	13	1	3	1	10
150	11	1	3	1	10
151	11	11	2	2	5
152	17	6	2	2	5
153	17	12	1	1	5
154	15	2	3	1	10
155	15	10	3	1	10
156	15	10	4	1	15
157	16	8	2	2	5
158	16	10	3	1	10
159	16	17	2	2	5
160	15	13	2	2	5
161	15	9	2	2	5
162	17	5	3	1	10
163	17	12	1	1	5
164	16	11	1	1	5
165	16	12	4	1	15
166	17	16	3	1	10
167	16	4	3	1	10
168	15	13	1	1	5
169	17	5	1	1	5
