number	floor	room#	type	size	duration(TW)_1	duration(TW)_2
1	14	3	3	1	10	15
2	10	5	1	1	5	5
3	8	20	3	1	10	15
4	9	22	2	2	5	10
5	5	24	2	2	5	10
6	10	8	3	1	10	15
7	6	28	1	1	5	5
8	11	2	4	1	15	20
9	5	30	4	1	15	20
10	8	3	1	1	5	5
11	6	14	3	1	10	15
12	16	13	1	1	5	5
13	6	20	3	1	10	15
14	15	1	3	1	10	15
15	10	17	2	2	5	10
16	14	20	1	1	5	5
17	11	10	3	1	10	15
18	15	5	2	2	5	10
19	6	18	2	2	5	10
20	9	17	3	1	10	15
21	9	17	4	1	15	20
22	11	14	4	1	15	20
23	17	20	2	2	5	10
24	7	24	4	1	15	20
25	5	4	3	1	10	15
26	5	10	4	1	15	20
27	5	26	3	1	10	15
28	12	10	2	2	5	10
29	5	29	1	1	5	5
30	13	9	3	1	10	15
31	8	6	4	1	15	20
32	8	13	3	1	10	15
33	5	3	1	1	5	5
34	13	14	1	1	5	5
35	13	11	4	1	15	20
36	14	27	4	1	15	20
37	13	24	4	1	15	20
38	6	8	2	2	5	10
39	13	18	2	2	5	10
40	8	13	2	2	5	10
41	11	2	3	1	10	15
42	7	5	3	1	10	15
43	11	24	3	1	10	15
44	13	8	2	2	5	10
45	15	4	1	1	5	5
46	6	31	1	1	5	5
47	8	9	1	1	5	5
48	6	3	4	1	15	20
49	9	22	2	2	5	10
50	13	21	4	1	15	20
51	7	10	4	1	15	20
52	6	11	2	2	5	10
53	17	7	3	1	10	15
54	13	28	4	1	15	20
55	17	20	4	1	15	20
56	11	7	4	1	15	20
57	16	19	3	1	10	15
58	9	6	2	2	5	10
59	9	1	3	1	10	15
60	8	3	2	2	5	10
61	8	5	1	1	5	5
62	17	17	4	1	15	20
63	10	32	4	1	15	20
64	11	3	4	1	15	20
65	5	23	3	1	10	15
66	10	11	2	2	5	10
67	12	19	3	1	10	15
68	9	23	3	1	10	15
69	14	3	2	2	5	10
70	13	22	1	1	5	5
71	5	13	3	1	10	15
72	13	9	3	1	10	15
73	13	2	3	1	10	15
74	14	13	3	1	10	15
75	14	27	4	1	15	20
76	5	6	2	2	5	10
77	16	4	3	1	10	15
78	17	31	3	1	10	15
79	6	4	4	1	15	20
80	12	4	1	1	5	5
81	8	11	2	2	5	10
82	16	31	2	2	5	10
83	11	8	2	2	5	10
84	17	23	3	1	10	15
85	14	6	3	1	10	15
86	13	17	3	1	10	15
87	5	15	4	1	15	20
88	12	19	1	1	5	5
89	5	17	2	2	5	10
90	17	16	2	2	5	10
91	17	14	1	1	5	5
92	17	20	1	1	5	5
93	6	8	2	2	5	10
94	14	10	2	2	5	10
95	9	6	4	1	15	20
96	11	8	1	1	5	5
97	7	32	2	2	5	10
98	13	31	2	2	5	10
99	12	14	2	2	5	10
100	16	14	2	2	5	10
101	3	18	3	1	10	15
102	2	15	4	1	15	20
103	8	3	1	1	5	5
104	11	15	1	1	5	5
105	12	17	1	1	5	5
106	12	22	1	1	5	5
107	5	4	1	1	5	5
108	3	10	2	2	5	10
109	13	10	4	1	15	20
110	12	9	4	1	15	20
111	8	25	3	1	10	15
112	10	1	4	1	15	20
113	15	17	4	1	15	20
114	4	25	1	1	5	5
115	14	17	1	1	5	5
116	14	27	1	1	5	5
117	4	13	2	2	5	10
118	13	10	2	2	5	10
119	4	28	1	1	5	5
120	7	13	3	1	10	15
121	17	10	1	1	5	5
122	2	6	1	1	5	5
123	12	10	1	1	5	5
124	15	2	1	1	5	5
125	10	3	4	1	15	20
126	14	8	2	2	5	10
127	14	27	2	2	5	10
128	14	11	2	2	5	10
129	14	25	3	1	10	15
130	17	12	3	1	10	15
131	7	27	4	1	15	20
132	13	16	4	1	15	20
133	3	14	1	1	5	5
134	8	11	2	2	5	10
135	17	6	4	1	15	20
136	6	26	2	2	5	10
137	14	23	3	1	10	15
138	13	2	4	1	15	20
139	3	20	1	1	5	5
140	6	13	1	1	5	5
141	2	25	1	1	5	5
142	2	15	4	1	15	20
143	10	5	4	1	15	20
144	5	1	2	2	5	10
145	13	13	2	2	5	10
146	2	9	1	1	5	5
147	8	4	4	1	15	20
148	16	2	1	1	5	5
149	2	13	2	2	5	10
150	7	31	4	1	15	20
151	10	14	4	1	15	20
152	6	24	4	1	15	20
153	4	10	4	1	15	20
154	11	21	1	1	5	5
155	15	10	1	1	5	5
156	4	23	2	2	5	10
157	15	7	1	1	5	5
158	6	5	3	1	10	15
159	2	17	4	1	15	20
160	8	8	2	2	5	10
161	14	10	1	1	5	5
162	8	1	1	1	5	5
163	9	16	1	1	5	5
164	11	21	3	1	10	15
165	13	14	1	1	5	5
166	11	20	3	1	10	15
167	8	32	1	1	5	5
168	14	8	1	1	5	5
