number;floor;room#;type;size;service_time;duration;interval;
0;1;0;0;0;0;1000;0;
1;5;7;0;1;1;25.456793877735393;0; 
2;4;24;1;2;1;51.454407699227595;1.09; 
3;13;13;0;1;1;58.77306034597165;1.09; 
4;4;22;1;1;1;46.5139576156243;1.09; 
5;8;5;0;1;1;46.38870998797783;1.09; 
6;4;23;1;2;1;56.60039639565342;1.09; 
7;13;6;0;1;1;52.85455717109183;1.1; 
8;2;12;1;1;1;66.2534284640982;1.09; 
9;14;18;0;1;1;40.18901247497584;1.09; 
10;4;17;1;1;1;43.34608004698843;1.09; 
11;12;19;0;1;1;43.63906330814338;1.09; 
12;3;1;1;1;1;50.83468328587856;1.09; 
13;8;14;0;1;1;47.7646001217028;1.09; 
14;4;3;1;1;1;57.245713388598446;1.09; 
15;9;17;0;1;1;61.867781397984146;1.09; 
16;4;4;1;1;1;45.16354570999771;1.09; 
17;6;8;0;2;1;57.05489898290635;1.09; 
18;4;6;1;1;1;58.790365809662575;1.1; 
19;12;16;0;2;1;51.830509972651186;1.09; 
20;3;13;1;1;1;61.028361019773214;1.09; 
21;12;17;0;1;1;70.37143555102014;1.09; 
22;3;4;1;1;1;47.16942923760102;1.09; 
23;12;20;0;2;1;65.23209347918672;1.09; 
24;3;19;1;1;1;56.76355705616396;1.09; 
25;7;9;0;2;1;58.65338826212929;1.09; 
26;3;22;1;1;1;91.41060607361585;1.09; 
27;15;15;0;1;1;79.21791376455096;1.09; 
28;4;12;1;1;1;73.1634819662728;1.09; 
29;9;23;0;1;1;69.57421832773238;1.1; 
30;2;7;1;2;1;65.73379359595205;1.09; 
31;16;14;0;1;1;65.9724610460045;1.09; 
32;2;6;1;1;1;67.0833170714752;1.09; 
33;11;8;0;2;1;85.76279722577263;1.09; 
34;2;3;1;1;1;93.6174710847109;1.09; 
35;5;13;0;2;1;82.48954222487933;1.09; 
36;4;13;1;1;1;80.83144736135255;1.09; 
37;6;3;0;1;1;81.61832551544113;1.09; 
38;4;9;1;1;1;100.1533153207654;1.09; 
39;13;9;0;1;1;86.9236197209379;1.09; 
40;3;21;1;1;1;92.30162805721507;1.1; 
41;11;18;0;1;1;80.91354340339018;1.09; 
42;4;8;1;2;1;80.39697132413576;1.09; 
43;16;9;0;1;1;70.43649501117373;1.09; 
44;2;11;1;2;1;91.62441332120598;1.09; 
45;5;12;0;2;1;92.92720720108242;1.09; 
46;4;18;1;1;1;72.72716548896565;1.09; 
47;13;12;0;1;1;84.24198411633658;1.09; 
48;3;7;1;1;1;90.70540165221246;1.09; 
49;9;20;0;1;1;102.66441578616218;1.09; 
50;3;8;1;1;1;89.7762984305107;1.09; 
51;12;7;0;1;1;83.1992140590558;1.1; 
52;2;19;1;1;1;80.5383829017133;1.09; 
53;10;18;0;1;1;94.7788973257829;1.09; 
54;3;23;1;1;1;102.67569915246355;1.09; 
55;5;22;0;1;1;94.4136168019607;1.09; 
56;3;17;1;2;1;93.58252469640885;1.09; 
57;14;16;0;1;1;124.82386879941234;1.09; 
58;3;12;1;2;1;103.09374026399122;1.09; 
59;7;13;0;1;1;101.4477475145664;1.09; 
60;4;7;1;1;1;110.378693893074;1.09; 
61;6;20;0;1;1;86.71733906781468;1.09; 
62;4;16;1;1;1;110.677603815778;1.1; 
63;7;15;0;1;1;116.60030386824293;1.09; 
64;2;21;1;1;1;105.13871757488204;1.09; 
65;8;7;0;1;1;117.72801718860617;1.09; 
66;2;16;1;1;1;99.64205220388143;1.09; 
67;7;16;0;1;1;106.41658555221537;1.09; 
68;3;15;1;2;1;112.36792660136311;1.09; 
69;12;14;0;1;1;119.97575782949866;1.09; 
70;3;18;1;2;1;112.13902864405838;1.09; 
71;12;18;0;1;1;102.43791596885885;1.09; 
72;3;9;1;1;1;111.96202459952814;1.09; 
73;5;19;0;1;1;105.87978537033602;1.1; 
74;2;1;1;1;1;131.57166458829917;1.09; 
75;10;17;0;2;1;104.06150359011151;1.09; 
76;4;1;1;1;1;116.47159109709823;1.09; 
77;10;11;0;1;1;123.96983232143374;1.09; 
78;4;10;1;1;1;122.45795328787179;1.09; 
79;8;12;0;1;1;145.5546626750118;1.09; 
80;2;13;1;1;1;143.81790278937888;1.09; 
81;8;18;0;1;1;123.10533129384694;1.09; 
82;3;14;1;2;1;132.38893254087;1.09; 
83;11;7;0;1;1;145.51165868465074;1.09; 
84;2;17;1;1;1;127.66274203177764;1.1; 
85;10;13;0;1;1;130.5747541520861;1.09; 
86;3;16;1;1;1;133.52754530556976;1.09; 
87;10;22;0;1;1;135.54423783328514;1.09; 
88;2;2;1;1;1;128.79789252401224;1.09; 
89;11;3;0;1;1;128.45313454186677;1.09; 
90;2;10;1;1;1;134.95510026899902;1.09; 
91;13;17;0;1;1;123.53072362061006;1.09; 
92;4;15;1;1;1;137.92222022362077;1.09; 
93;10;1;0;1;1;138.93779164282347;1.09; 
94;2;9;1;1;1;144.2349606636396;1.09; 
95;14;11;0;1;1;142.47747325332966;1.1; 
96;2;4;1;1;1;138.97684561985722;1.09; 
97;12;1;0;1;1;149.1567843755085;1.09; 
98;3;3;1;1;1;141.4876405290288;1.09; 
99;9;19;0;1;1;151.02076447783185;1.09; 
100;2;18;1;1;1;143.36811053385986;1.09; 
101;10;3;0;1;1;158.52643065019672;1.09; 
102;2;8;1;1;1;173.05019442667316;1.09; 
103;16;15;0;1;1;158.91404735491145;1.09; 
104;3;6;1;1;1;133.43279189368934;1.09; 
105;14;1;0;2;1;150.65199524545525;1.09; 
106;3;11;1;2;1;155.17590364137135;1.1; 
107;7;1;0;1;1;191.21787593758796;1.09; 
108;4;20;1;1;1;174.21278006626167;1.09; 
109;14;2;0;1;1;158.50567011927868;1.09; 
110;3;20;1;1;1;146.80947254063437;1.09; 
