number	floor	room#	type	size	duration(TW)
1	3	18	2	2	5
2	2	6	1	1	5
3	3	17	3	1	10
4	3	5	1	1	5
5	2	1	2	2	5
6	2	32	4	1	15
7	3	6	2	2	5
8	2	5	4	1	15
9	4	13	3	1	10
10	4	18	4	1	15
11	3	27	3	1	10
12	2	28	1	1	5
13	3	11	1	1	5
14	3	9	4	1	15
15	4	11	2	2	5
16	2	8	1	1	5
17	2	5	4	1	15
18	2	15	2	2	5
19	4	8	2	2	5
20	4	5	2	2	5
21	3	7	1	1	5
22	4	32	2	2	5
23	2	9	1	1	5
24	3	18	2	2	5
25	4	28	4	1	15
26	4	17	3	1	10
27	4	13	4	1	15
28	2	17	3	1	10
29	2	13	1	1	5
30	4	1	3	1	10
31	3	32	1	1	5
32	4	18	2	2	5
33	2	3	1	1	5
34	4	28	3	1	10
35	3	8	1	1	5
36	2	13	1	1	5
37	2	1	4	1	15
38	4	17	3	1	10
39	2	7	3	1	10
40	2	29	3	1	10
41	4	7	3	1	10
42	4	14	2	2	5
43	3	9	4	1	15
44	2	17	4	1	15
45	4	10	4	1	15
46	4	9	1	1	5
47	4	7	1	1	5
48	4	29	2	2	5
49	3	26	4	1	15
50	4	5	4	1	15
51	3	24	3	1	10
52	4	31	4	1	15
53	3	21	4	1	15
54	2	28	1	1	5
55	2	26	2	2	5
56	3	4	2	2	5
57	2	7	4	1	15
58	4	13	2	2	5
59	4	7	1	1	5
60	4	27	1	1	5
61	4	15	4	1	15
62	3	28	1	1	5
63	4	22	3	1	10
64	4	10	2	2	5
65	2	3	1	1	5
66	3	18	1	1	5
67	3	12	3	1	10
68	2	16	2	2	5
69	4	32	1	1	5
70	3	22	4	1	15
71	3	19	2	2	5
72	3	31	4	1	15
73	2	1	4	1	15
74	3	26	1	1	5
75	10	4	3	1	10
76	7	5	2	2	5
77	7	16	4	1	15
78	8	5	3	1	10
79	10	26	2	2	5
80	8	17	4	1	15
81	7	4	1	1	5
82	5	18	3	1	10
83	10	30	2	2	5
84	10	11	2	2	5
85	9	18	2	2	5
86	5	30	4	1	15
87	8	28	2	2	5
88	6	28	1	1	5
89	9	20	2	2	5
90	7	6	3	1	10
91	8	3	1	1	5
92	9	25	3	1	10
93	7	24	3	1	10
94	7	22	2	2	5
95	8	27	2	2	5
96	5	26	2	2	5
97	8	25	4	1	15
98	7	32	3	1	10
99	9	3	2	2	5
100	6	1	2	2	5
101	7	7	1	1	5
102	5	25	2	2	5
103	8	5	1	1	5
104	10	32	4	1	15
105	10	4	4	1	15
106	9	24	2	2	5
107	5	20	3	1	10
108	7	7	1	1	5
109	6	14	2	2	5
110	8	31	2	2	5
111	5	18	1	1	5
112	9	21	2	2	5
113	9	20	4	1	15
114	7	12	1	1	5
115	8	3	1	1	5
116	5	15	1	1	5
117	8	9	3	1	10
118	10	10	3	1	10
119	6	29	2	2	5
120	8	2	1	1	5
121	7	22	2	2	5
122	7	14	1	1	5
123	10	12	3	1	10
124	7	17	3	1	10
125	9	31	1	1	5
126	5	6	3	1	10
127	9	17	2	2	5
128	5	19	3	1	10
129	14	7	3	1	10
130	13	10	4	1	15
131	11	19	2	2	5
132	11	17	2	2	5
133	11	10	2	2	5
134	11	13	3	1	10
135	14	28	1	1	5
136	11	9	1	1	5
137	12	9	4	1	15
138	13	16	1	1	5
139	14	19	1	1	5
140	11	11	4	1	15
141	13	26	3	1	10
142	14	10	2	2	5
143	14	20	1	1	5
144	13	19	2	2	5
145	14	15	2	2	5
146	12	16	3	1	10
147	14	27	4	1	15
148	12	2	2	2	5
149	13	14	3	1	10
150	11	22	3	1	10
151	14	13	3	1	10
152	11	17	3	1	10
153	12	14	3	1	10
154	12	11	1	1	5
155	13	6	3	1	10
156	11	11	4	1	15
157	16	5	3	1	10
158	15	6	1	1	5
159	15	17	3	1	10
160	16	6	4	1	15
161	15	17	2	2	5
162	17	15	2	2	5
163	15	15	2	2	5
164	16	11	1	1	5
165	17	19	1	1	5
166	17	4	1	1	5
167	17	12	1	1	5
168	15	10	3	1	10
169	15	16	1	1	5
