number	floor	room#	type	size	duration(TW)
1	2	23	1	1	5
2	3	8	4	1	15
3	4	12	3	1	10
4	2	30	3	1	10
5	4	18	4	1	15
6	4	18	3	1	10
7	2	27	2	2	5
8	2	31	1	1	5
9	3	29	3	1	10
10	4	14	1	1	5
11	3	29	1	1	5
12	2	20	2	2	5
13	3	21	4	1	15
14	4	10	4	1	15
15	4	26	4	1	15
16	2	30	1	1	5
17	2	7	2	2	5
18	2	2	3	1	10
19	3	3	2	2	5
20	2	10	2	2	5
21	3	19	3	1	10
22	2	3	1	1	5
23	4	16	4	1	15
24	2	22	2	2	5
25	4	7	2	2	5
26	2	29	4	1	15
27	4	15	4	1	15
28	2	13	1	1	5
29	3	21	3	1	10
30	3	31	2	2	5
31	4	29	4	1	15
32	2	7	4	1	15
33	2	24	1	1	5
34	3	31	1	1	5
35	4	30	4	1	15
36	2	31	1	1	5
37	4	23	1	1	5
38	3	29	1	1	5
39	4	2	3	1	10
40	3	11	4	1	15
41	4	15	4	1	15
42	2	8	1	1	5
43	4	13	3	1	10
44	3	2	1	1	5
45	3	23	2	2	5
46	2	27	4	1	15
47	4	13	3	1	10
48	3	1	2	2	5
49	4	27	2	2	5
50	3	24	4	1	15
51	2	20	4	1	15
52	4	15	1	1	5
53	4	20	2	2	5
54	2	2	3	1	10
55	3	27	2	2	5
56	3	14	2	2	5
57	4	12	3	1	10
58	4	5	3	1	10
59	3	12	1	1	5
60	4	8	1	1	5
61	4	26	4	1	15
62	3	8	3	1	10
63	3	26	4	1	15
64	3	13	4	1	15
65	3	12	4	1	15
66	2	9	1	1	5
67	2	24	3	1	10
68	4	29	3	1	10
69	2	8	4	1	15
70	3	2	3	1	10
71	4	24	4	1	15
72	4	6	1	1	5
73	4	23	2	2	5
74	4	13	4	1	15
75	8	12	1	1	5
76	10	10	3	1	10
77	10	9	4	1	15
78	10	8	1	1	5
79	8	10	1	1	5
80	5	25	3	1	10
81	6	20	2	2	5
82	5	8	3	1	10
83	5	17	3	1	10
84	7	14	3	1	10
85	6	6	2	2	5
86	10	2	4	1	15
87	7	22	3	1	10
88	10	10	4	1	15
89	9	6	3	1	10
90	8	19	2	2	5
91	8	6	3	1	10
92	7	1	2	2	5
93	7	28	1	1	5
94	7	16	4	1	15
95	6	19	1	1	5
96	10	26	1	1	5
97	7	18	2	2	5
98	10	22	3	1	10
99	5	15	4	1	15
100	8	13	3	1	10
101	10	21	2	2	5
102	8	2	3	1	10
103	10	10	4	1	15
104	5	1	4	1	15
105	6	14	2	2	5
106	7	5	4	1	15
107	10	20	1	1	5
108	10	21	3	1	10
109	10	15	1	1	5
110	9	9	3	1	10
111	5	25	4	1	15
112	5	31	2	2	5
113	9	20	3	1	10
114	9	8	3	1	10
115	5	6	4	1	15
116	9	7	4	1	15
117	6	10	4	1	15
118	8	16	3	1	10
119	9	11	2	2	5
120	8	26	2	2	5
121	7	9	3	1	10
122	5	21	1	1	5
123	5	8	4	1	15
124	8	17	1	1	5
125	6	17	1	1	5
126	6	17	3	1	10
127	10	10	4	1	15
128	7	22	1	1	5
129	11	23	3	1	10
130	13	7	3	1	10
131	14	3	1	1	5
132	14	23	4	1	15
133	14	26	2	2	5
134	14	16	2	2	5
135	12	23	4	1	15
136	14	3	4	1	15
137	11	18	1	1	5
138	14	27	1	1	5
139	14	17	2	2	5
140	14	10	2	2	5
141	13	1	4	1	15
142	11	16	1	1	5
143	14	11	3	1	10
144	14	7	1	1	5
145	12	19	2	2	5
146	11	16	4	1	15
147	11	22	4	1	15
148	12	20	1	1	5
149	13	19	4	1	15
150	14	23	1	1	5
151	14	22	3	1	10
152	14	10	2	2	5
153	12	6	3	1	10
154	11	10	4	1	15
155	11	15	1	1	5
156	13	13	4	1	15
157	15	3	2	2	5
158	15	4	1	1	5
159	17	15	4	1	15
160	16	8	3	1	10
161	17	15	1	1	5
162	17	16	4	1	15
163	17	8	4	1	15
164	17	8	2	2	5
165	17	18	2	2	5
166	16	2	3	1	10
167	15	4	4	1	15
168	16	8	4	1	15
169	17	5	2	2	5
