number	floor	room#	type	size	duration(TW)
1	4	21	2	2	5
2	3	15	1	1	5
3	2	7	1	1	5
4	3	6	3	1	10
5	4	3	1	1	5
6	3	9	3	1	10
7	2	26	4	1	15
8	4	27	3	1	10
9	3	12	3	1	10
10	3	25	3	1	10
11	2	11	3	1	10
12	2	13	1	1	5
13	3	30	2	2	5
14	3	17	3	1	10
15	4	19	4	1	15
16	2	13	4	1	15
17	2	2	3	1	10
18	2	1	2	2	5
19	4	21	4	1	15
20	3	6	1	1	5
21	2	26	4	1	15
22	3	18	4	1	15
23	4	26	1	1	5
24	2	19	4	1	15
25	4	15	3	1	10
26	4	3	3	1	10
27	2	15	3	1	10
28	4	1	2	2	5
29	3	17	1	1	5
30	2	2	2	2	5
31	2	10	1	1	5
32	2	24	2	2	5
33	3	25	2	2	5
34	3	21	1	1	5
35	2	5	3	1	10
36	4	19	3	1	10
37	2	30	2	2	5
38	4	12	1	1	5
39	2	23	1	1	5
40	2	1	1	1	5
41	10	14	1	1	5
42	6	8	1	1	5
43	6	9	3	1	10
44	8	18	1	1	5
45	9	11	4	1	15
46	6	28	4	1	15
47	10	12	2	2	5
48	8	16	4	1	15
49	9	17	3	1	10
50	6	14	1	1	5
51	10	1	2	2	5
52	10	8	4	1	15
53	9	4	4	1	15
54	8	5	4	1	15
55	6	8	3	1	10
56	10	24	2	2	5
57	8	13	1	1	5
58	10	8	1	1	5
59	8	17	3	1	10
60	6	15	2	2	5
61	9	23	4	1	15
62	7	11	3	1	10
63	7	25	3	1	10
64	8	7	4	1	15
65	9	32	2	2	5
66	9	31	4	1	15
67	7	21	4	1	15
68	6	3	4	1	15
69	5	12	3	1	10
70	8	21	4	1	15
71	9	4	3	1	10
72	6	15	3	1	10
73	7	18	1	1	5
74	7	31	1	1	5
75	6	29	3	1	10
76	6	19	1	1	5
77	5	18	1	1	5
78	10	18	3	1	10
79	6	22	3	1	10
80	7	31	2	2	5
81	10	22	3	1	10
82	9	12	3	1	10
83	10	18	3	1	10
84	6	1	3	1	10
85	10	20	1	1	5
86	8	16	1	1	5
87	8	17	2	2	5
88	6	16	4	1	15
89	7	30	1	1	5
90	7	21	2	2	5
91	8	28	4	1	15
92	10	10	3	1	10
93	10	17	2	2	5
94	8	26	2	2	5
95	8	19	1	1	5
96	7	25	2	2	5
97	6	11	1	1	5
98	6	12	2	2	5
99	5	28	4	1	15
100	5	19	2	2	5
101	8	25	3	1	10
102	9	12	2	2	5
103	8	17	3	1	10
104	6	30	4	1	15
105	10	21	3	1	10
106	8	22	4	1	15
107	9	17	1	1	5
108	5	5	4	1	15
109	5	15	1	1	5
110	8	6	2	2	5
111	8	17	4	1	15
112	8	10	3	1	10
113	9	21	2	2	5
114	11	1	4	1	15
115	11	26	1	1	5
116	11	20	3	1	10
117	14	22	4	1	15
118	11	17	2	2	5
119	14	23	1	1	5
120	13	8	4	1	15
121	14	17	1	1	5
122	14	20	3	1	10
123	12	1	2	2	5
124	14	21	4	1	15
125	14	23	3	1	10
126	13	24	3	1	10
127	14	1	4	1	15
128	13	16	1	1	5
129	11	14	2	2	5
130	13	4	3	1	10
131	12	23	4	1	15
132	11	11	1	1	5
133	12	16	1	1	5
134	11	8	4	1	15
135	12	24	1	1	5
136	12	27	3	1	10
137	13	15	3	1	10
138	13	2	2	2	5
139	14	27	3	1	10
140	13	22	3	1	10
141	12	1	1	1	5
142	14	23	2	2	5
143	14	1	4	1	15
144	12	11	3	1	10
145	12	17	4	1	15
146	11	26	4	1	15
147	11	2	1	1	5
148	12	6	4	1	15
149	12	4	4	1	15
150	13	17	2	2	5
151	13	22	4	1	15
152	15	7	3	1	10
153	17	8	3	1	10
154	16	16	1	1	5
155	17	20	1	1	5
156	17	2	4	1	15
157	17	7	3	1	10
158	15	17	4	1	15
159	16	15	3	1	10
160	17	17	1	1	5
161	17	14	3	1	10
162	17	13	3	1	10
163	16	18	4	1	15
164	17	7	2	2	5
165	16	6	4	1	15
166	15	11	2	2	5
167	15	16	3	1	10
168	17	16	2	2	5
169	15	20	4	1	15
