number	floor	room#	type	size	duration(TW)_1	duration(TW)_2
1	11	19	2	2	5	10
2	9	17	4	1	15	20
3	9	26	2	2	5	10
4	4	17	3	1	10	15
5	7	30	4	1	15	20
6	6	24	1	1	5	5
7	3	18	4	1	15	20
8	5	2	1	1	5	5
9	17	14	3	1	10	15
10	17	7	1	1	5	5
11	13	16	4	1	15	20
12	13	1	2	2	5	10
13	6	12	1	1	5	5
14	6	2	2	2	5	10
15	17	20	1	1	5	5
16	2	32	4	1	15	20
17	12	7	4	1	15	20
18	9	3	2	2	5	10
19	9	14	2	2	5	10
20	15	16	1	1	5	5
21	5	25	1	1	5	5
22	6	2	1	1	5	5
23	14	20	4	1	15	20
24	14	20	4	1	15	20
25	8	4	3	1	10	15
26	8	15	1	1	5	5
27	13	14	4	1	15	20
28	13	9	3	1	10	15
29	11	17	1	1	5	5
30	5	28	1	1	5	5
31	15	14	4	1	15	20
32	2	30	1	1	5	5
33	2	22	2	2	5	10
34	16	13	1	1	5	5
35	3	11	4	1	15	20
36	13	28	1	1	5	5
37	10	24	3	1	10	15
38	3	8	2	2	5	10
39	16	3	3	1	10	15
40	3	30	3	1	10	15
41	12	4	2	2	5	10
42	10	30	2	2	5	10
43	7	25	2	2	5	10
44	3	13	4	1	15	20
45	14	19	1	1	5	5
46	14	23	3	1	10	15
47	10	18	2	2	5	10
48	13	15	1	1	5	5
49	11	11	3	1	10	15
50	11	3	1	1	5	5
51	2	32	2	2	5	10
52	11	26	4	1	15	20
53	2	24	4	1	15	20
54	5	31	3	1	10	15
55	16	11	3	1	10	15
56	13	10	3	1	10	15
57	15	3	4	1	15	20
58	5	4	4	1	15	20
59	4	7	4	1	15	20
60	13	26	3	1	10	15
61	8	23	2	2	5	10
62	3	19	4	1	15	20
63	15	6	3	1	10	15
64	12	11	4	1	15	20
65	2	29	1	1	5	5
66	11	4	4	1	15	20
67	9	18	1	1	5	5
68	16	14	1	1	5	5
69	9	3	1	1	5	5
70	6	13	3	1	10	15
71	12	6	3	1	10	15
72	6	12	4	1	15	20
73	11	22	2	2	5	10
74	7	20	2	2	5	10
75	2	22	2	2	5	10
76	9	6	2	2	5	10
77	7	2	4	1	15	20
78	3	13	1	1	5	5
79	2	28	3	1	10	15
80	5	11	2	2	5	10
81	7	15	2	2	5	10
82	6	17	2	2	5	10
83	7	28	4	1	15	20
84	11	28	3	1	10	15
85	14	25	2	2	5	10
86	2	28	2	2	5	10
87	11	4	3	1	10	15
88	10	21	4	1	15	20
89	6	12	3	1	10	15
90	4	19	3	1	10	15
91	14	4	3	1	10	15
92	8	25	2	2	5	10
93	16	16	2	2	5	10
94	2	20	1	1	5	5
95	8	16	4	1	15	20
96	8	13	1	1	5	5
97	2	28	1	1	5	5
98	9	26	1	1	5	5
99	13	17	3	1	10	15
100	13	18	1	1	5	5
101	9	14	4	1	15	20
102	2	1	2	2	5	10
103	11	6	3	1	10	15
104	6	4	3	1	10	15
105	16	9	3	1	10	15
106	11	18	3	1	10	15
107	2	21	3	1	10	15
108	11	19	2	2	5	10
109	12	26	3	1	10	15
110	8	31	2	2	5	10
111	10	12	3	1	10	15
112	10	15	4	1	15	20
113	6	9	3	1	10	15
114	17	16	3	1	10	15
115	16	6	4	1	15	20
116	15	11	3	1	10	15
117	16	3	2	2	5	10
118	17	8	1	1	5	5
119	15	7	4	1	15	20
120	11	15	2	2	5	10
121	6	5	4	1	15	20
122	8	12	2	2	5	10
123	7	15	1	1	5	5
124	7	7	1	1	5	5
125	3	16	1	1	5	5
126	14	25	1	1	5	5
127	6	22	4	1	15	20
128	3	15	2	2	5	10
129	3	25	1	1	5	5
130	14	1	2	2	5	10
131	14	4	4	1	15	20
132	11	27	2	2	5	10
133	14	16	2	2	5	10
134	2	24	4	1	15	20
135	14	24	1	1	5	5
136	13	7	4	1	15	20
137	7	15	3	1	10	15
138	7	32	4	1	15	20
139	17	7	2	2	5	10
140	17	10	2	2	5	10
141	5	18	3	1	10	15
142	2	7	4	1	15	20
143	12	12	1	1	5	5
144	13	24	2	2	5	10
145	17	12	4	1	15	20
146	9	13	1	1	5	5
147	11	14	2	2	5	10
148	4	19	2	2	5	10
149	4	5	3	1	10	15
150	17	2	4	1	15	20
151	13	24	2	2	5	10
152	15	13	1	1	5	5
153	12	25	2	2	5	10
154	6	1	4	1	15	20
155	14	10	4	1	15	20
156	2	18	1	1	5	5
157	17	1	3	1	10	15
158	6	15	3	1	10	15
159	16	5	2	2	5	10
160	14	19	1	1	5	5
161	8	28	4	1	15	20
162	14	28	3	1	10	15
163	14	8	2	2	5	10
164	12	9	1	1	5	5
165	15	1	2	2	5	10
166	14	3	4	1	15	20
167	14	26	3	1	10	15
168	4	24	1	1	5	5
