number	floor	room#	type	size	duration(TW)
1	3	29	3	1	10
2	2	1	4	1	15
3	4	4	2	2	5
4	4	16	3	1	10
5	2	15	1	1	5
6	2	25	1	1	5
7	3	4	2	2	5
8	4	16	3	1	10
9	4	13	2	2	5
10	3	20	1	1	5
11	2	22	4	1	15
12	4	10	4	1	15
13	4	13	4	1	15
14	2	4	4	1	15
15	4	25	4	1	15
16	3	6	4	1	15
17	4	32	4	1	15
18	3	6	4	1	15
19	4	29	4	1	15
20	2	28	1	1	5
21	4	17	3	1	10
22	3	26	2	2	5
23	4	12	3	1	10
24	3	17	1	1	5
25	2	11	1	1	5
26	4	21	1	1	5
27	4	1	2	2	5
28	4	29	1	1	5
29	4	20	4	1	15
30	2	25	1	1	5
31	4	21	1	1	5
32	3	25	2	2	5
33	2	12	1	1	5
34	2	1	1	1	5
35	3	11	3	1	10
36	4	23	1	1	5
37	4	21	2	2	5
38	3	4	4	1	15
39	2	28	2	2	5
40	4	14	1	1	5
41	4	8	1	1	5
42	2	2	2	2	5
43	2	7	2	2	5
44	3	10	4	1	15
45	3	16	4	1	15
46	3	9	3	1	10
47	2	25	4	1	15
48	3	5	1	1	5
49	2	22	3	1	10
50	2	18	1	1	5
51	3	12	3	1	10
52	2	15	1	1	5
53	2	23	3	1	10
54	2	24	4	1	15
55	3	13	3	1	10
56	4	17	3	1	10
57	4	29	2	2	5
58	5	9	2	2	5
59	5	19	1	1	5
60	10	30	1	1	5
61	10	8	3	1	10
62	5	1	1	1	5
63	5	6	1	1	5
64	8	29	1	1	5
65	7	20	3	1	10
66	6	32	2	2	5
67	10	32	2	2	5
68	7	15	4	1	15
69	8	10	1	1	5
70	7	19	2	2	5
71	7	19	4	1	15
72	5	30	3	1	10
73	9	4	2	2	5
74	10	24	2	2	5
75	9	26	3	1	10
76	7	18	1	1	5
77	5	31	1	1	5
78	8	13	4	1	15
79	9	24	4	1	15
80	5	5	2	2	5
81	6	23	3	1	10
82	9	13	3	1	10
83	6	19	2	2	5
84	8	8	4	1	15
85	9	30	2	2	5
86	8	1	3	1	10
87	7	28	3	1	10
88	7	32	1	1	5
89	9	4	1	1	5
90	7	30	1	1	5
91	6	26	4	1	15
92	7	29	4	1	15
93	9	25	1	1	5
94	5	1	4	1	15
95	6	13	2	2	5
96	9	17	3	1	10
97	8	20	3	1	10
98	6	26	1	1	5
99	6	3	2	2	5
100	6	29	3	1	10
101	10	6	2	2	5
102	10	30	1	1	5
103	10	8	1	1	5
104	7	21	3	1	10
105	9	7	4	1	15
106	6	29	3	1	10
107	7	29	2	2	5
108	5	22	2	2	5
109	8	25	2	2	5
110	6	1	1	1	5
111	8	12	1	1	5
112	6	15	4	1	15
113	7	15	3	1	10
114	6	27	1	1	5
115	9	5	2	2	5
116	5	6	2	2	5
117	8	17	3	1	10
118	10	28	3	1	10
119	5	3	1	1	5
120	10	9	2	2	5
121	13	28	4	1	15
122	14	14	2	2	5
123	13	1	3	1	10
124	14	3	4	1	15
125	13	25	3	1	10
126	13	28	3	1	10
127	11	5	2	2	5
128	13	7	1	1	5
129	14	7	2	2	5
130	13	15	2	2	5
131	13	16	2	2	5
132	13	14	4	1	15
133	14	21	1	1	5
134	13	21	3	1	10
135	13	15	4	1	15
136	12	1	2	2	5
137	13	6	1	1	5
138	12	2	2	2	5
139	11	12	1	1	5
140	12	27	4	1	15
141	14	19	3	1	10
142	14	16	1	1	5
143	13	8	4	1	15
144	11	4	2	2	5
145	12	3	2	2	5
146	13	26	1	1	5
147	12	27	3	1	10
148	12	23	1	1	5
149	13	25	3	1	10
150	12	14	2	2	5
151	13	14	1	1	5
152	12	28	4	1	15
153	11	12	1	1	5
154	16	11	1	1	5
155	17	4	1	1	5
156	15	2	3	1	10
157	16	1	1	1	5
158	16	6	3	1	10
159	15	5	2	2	5
160	16	16	4	1	15
161	16	1	3	1	10
162	17	7	2	2	5
163	16	17	2	2	5
164	15	13	4	1	15
165	17	1	1	1	5
166	15	18	4	1	15
167	17	10	3	1	10
168	16	17	4	1	15
169	15	4	3	1	10
