number;floor;room#;type;size;service_time;duration;interval;
0;1;0;0;0;0;1000;0;
1;10;3;0;1;1;43.31111399985867;0; 
2;3;23;1;1;1;43.01072872679481;1.09; 
3;6;10;0;2;1;49.48025984994634;1.09; 
4;2;20;1;1;1;35.14168515342051;1.09; 
5;10;24;0;1;1;44.27382186376415;1.09; 
6;2;14;1;1;1;34.85526767470019;1.09; 
7;8;22;0;1;1;58.15053968817212;1.1; 
8;3;16;1;1;1;51.012391959689154;1.09; 
9;14;18;0;1;1;58.512465509405416;1.09; 
10;2;3;1;1;1;48.86769605490997;1.09; 
11;6;12;0;1;1;61.94639689577518;1.09; 
12;3;11;1;1;1;60.22413160196329;1.09; 
13;13;14;0;1;1;58.489382733605794;1.09; 
14;3;14;1;1;1;61.67391181104495;1.09; 
15;8;2;0;1;1;82.55461339270173;1.09; 
16;3;20;1;1;1;52.540679429157734;1.09; 
17;11;9;0;1;1;52.58515074211694;1.09; 
18;4;4;1;1;1;52.25330603279242;1.1; 
19;13;5;0;1;1;44.45478600027177;1.09; 
20;2;1;1;1;1;70.93506258342028;1.09; 
21;11;18;0;1;1;80.43136034785064;1.09; 
22;4;18;1;1;1;60.110578265679294;1.09; 
23;13;16;0;1;1;71.78190646475176;1.09; 
24;2;19;1;2;1;58.32064649739047;1.09; 
25;15;4;0;1;1;56.09273258623725;1.09; 
26;3;13;1;1;1;67.4363359624133;1.09; 
27;9;22;0;2;1;63.454723206020006;1.09; 
28;4;23;1;1;1;67.09919792262458;1.09; 
29;9;2;0;1;1;76.4115177824881;1.1; 
30;4;14;1;1;1;68.38977327647689;1.09; 
31;6;2;0;1;1;89.30092468800649;1.09; 
32;2;24;1;1;1;79.80557023739102;1.09; 
33;8;5;0;1;1;69.59359351784065;1.09; 
34;2;7;1;2;1;78.82908406631947;1.09; 
35;14;5;0;1;1;92.27219497838763;1.09; 
36;2;9;1;1;1;73.24484760210443;1.09; 
37;16;15;0;1;1;100.42121135736821;1.09; 
38;4;8;1;1;1;62.43008031271328;1.09; 
39;13;19;0;2;1;72.06779186256173;1.09; 
40;3;12;1;1;1;111.508746983298;1.1; 
41;6;8;0;1;1;79.66928849190546;1.09; 
42;3;7;1;1;1;92.08262101726012;1.09; 
43;5;8;0;1;1;87.32665236374257;1.09; 
44;3;19;1;1;1;78.42014282463956;1.09; 
45;14;16;0;2;1;93.87687236115163;1.09; 
46;4;10;1;1;1;73.38145818326643;1.09; 
47;11;7;0;1;1;100.45586453665119;1.09; 
48;2;16;1;2;1;93.47305549459091;1.09; 
49;8;13;0;1;1;106.93159255555122;1.09; 
50;4;6;1;1;1;94.43504016716678;1.09; 
51;6;3;0;1;1;90.46778166903246;1.1; 
52;2;5;1;2;1;96.40316239556624;1.09; 
53;13;13;0;1;1;109.07565344333577;1.09; 
54;2;4;1;1;1;92.39744394051468;1.09; 
55;12;6;0;1;1;103.54479282614382;1.09; 
56;3;10;1;1;1;88.4276254240678;1.09; 
57;10;11;0;1;1;102.06372290821267;1.09; 
58;3;15;1;1;1;102.7023968380733;1.09; 
59;13;6;0;1;1;95.02795870417323;1.09; 
60;4;20;1;1;1;101.16100572369932;1.09; 
61;6;20;0;1;1;114.75064072949783;1.09; 
62;4;19;1;1;1;118.87481435822217;1.1; 
63;16;16;0;1;1;92.04425770470718;1.09; 
64;4;7;1;1;1;109.94417490276422;1.09; 
65;10;21;0;1;1;102.81662713861019;1.09; 
66;4;24;1;1;1;123.88267944396556;1.09; 
67;10;22;0;1;1;100.4520734421245;1.09; 
68;2;6;1;1;1;115.83445492985851;1.09; 
69;15;13;0;1;1;124.59095904865433;1.09; 
70;4;3;1;1;1;113.47490876166002;1.09; 
71;15;1;0;2;1;103.83615989034787;1.09; 
72;3;3;1;1;1;123.32401686213404;1.09; 
73;9;8;0;1;1;118.41042751797667;1.1; 
74;4;11;1;1;1;119.77487708109737;1.09; 
75;5;1;0;1;1;112.3800998870251;1.09; 
76;3;6;1;2;1;131.60046239856075;1.09; 
77;13;15;0;2;1;125.31764038511534;1.09; 
78;4;22;1;1;1;130.04933310469173;1.09; 
79;5;18;0;1;1;112.11733872392611;1.09; 
