number	floor	room#	type	size	duration(TW)
1	3	25	1	1	5
2	2	28	2	2	5
3	2	29	3	1	10
4	4	27	2	2	5
5	3	4	1	1	5
6	3	9	2	2	5
7	3	6	1	1	5
8	2	5	4	1	15
9	2	9	3	1	10
10	3	11	3	1	10
11	3	6	4	1	15
12	4	26	4	1	15
13	2	6	3	1	10
14	2	25	4	1	15
15	3	5	2	2	5
16	4	3	3	1	10
17	4	25	3	1	10
18	2	1	4	1	15
19	4	15	1	1	5
20	3	23	4	1	15
21	2	30	1	1	5
22	4	15	3	1	10
23	2	12	2	2	5
24	4	24	2	2	5
25	3	4	1	1	5
26	4	6	3	1	10
27	3	9	3	1	10
28	2	20	3	1	10
29	2	21	3	1	10
30	3	2	2	2	5
31	2	7	1	1	5
32	2	6	4	1	15
33	2	15	1	1	5
34	4	31	3	1	10
35	2	30	1	1	5
36	3	18	3	1	10
37	2	19	2	2	5
38	2	25	2	2	5
39	3	7	2	2	5
40	2	28	3	1	10
41	3	13	1	1	5
42	4	12	2	2	5
43	3	13	2	2	5
44	2	22	4	1	15
45	2	4	1	1	5
46	2	32	1	1	5
47	3	20	4	1	15
48	2	12	3	1	10
49	3	24	4	1	15
50	3	16	4	1	15
51	4	2	3	1	10
52	2	1	2	2	5
53	2	28	4	1	15
54	2	25	2	2	5
55	2	17	3	1	10
56	4	14	3	1	10
57	2	20	4	1	15
58	7	19	3	1	10
59	7	24	3	1	10
60	9	27	2	2	5
61	7	2	2	2	5
62	10	15	4	1	15
63	5	16	3	1	10
64	5	7	1	1	5
65	10	4	3	1	10
66	9	22	4	1	15
67	5	32	2	2	5
68	9	13	4	1	15
69	10	18	4	1	15
70	7	11	3	1	10
71	8	3	2	2	5
72	5	28	1	1	5
73	8	21	3	1	10
74	7	11	2	2	5
75	5	12	1	1	5
76	9	9	4	1	15
77	8	8	1	1	5
78	5	28	3	1	10
79	7	3	3	1	10
80	10	22	2	2	5
81	6	27	4	1	15
82	9	16	2	2	5
83	6	12	3	1	10
84	8	14	2	2	5
85	8	4	2	2	5
86	8	16	4	1	15
87	7	5	1	1	5
88	10	30	4	1	15
89	9	21	3	1	10
90	8	31	1	1	5
91	6	3	1	1	5
92	6	29	4	1	15
93	10	29	3	1	10
94	5	3	2	2	5
95	5	2	2	2	5
96	9	15	4	1	15
97	10	16	3	1	10
98	10	23	3	1	10
99	5	1	2	2	5
100	10	20	1	1	5
101	9	7	1	1	5
102	10	3	3	1	10
103	8	21	4	1	15
104	5	3	2	2	5
105	5	27	4	1	15
106	8	21	2	2	5
107	9	22	3	1	10
108	9	15	1	1	5
109	5	20	4	1	15
110	10	29	1	1	5
111	6	6	3	1	10
112	10	28	1	1	5
113	9	1	1	1	5
114	9	26	3	1	10
115	5	8	3	1	10
116	8	12	3	1	10
117	5	18	4	1	15
118	9	21	3	1	10
119	5	28	1	1	5
120	5	30	2	2	5
121	12	27	3	1	10
122	14	20	3	1	10
123	14	16	2	2	5
124	11	22	4	1	15
125	11	25	4	1	15
126	11	14	4	1	15
127	11	1	1	1	5
128	11	21	3	1	10
129	13	7	2	2	5
130	12	4	1	1	5
131	14	17	3	1	10
132	12	6	2	2	5
133	14	3	3	1	10
134	13	16	4	1	15
135	13	26	2	2	5
136	13	19	1	1	5
137	13	26	4	1	15
138	11	28	2	2	5
139	11	22	4	1	15
140	12	28	2	2	5
141	13	21	2	2	5
142	14	12	3	1	10
143	11	1	2	2	5
144	13	6	1	1	5
145	12	20	4	1	15
146	12	26	3	1	10
147	11	18	1	1	5
148	13	5	3	1	10
149	12	2	4	1	15
150	14	23	3	1	10
151	14	22	4	1	15
152	13	28	3	1	10
153	11	12	2	2	5
154	16	19	2	2	5
155	16	14	3	1	10
156	16	12	4	1	15
157	15	14	1	1	5
158	15	7	4	1	15
159	15	20	1	1	5
160	17	17	3	1	10
161	16	9	2	2	5
162	17	9	2	2	5
163	15	3	2	2	5
164	17	14	4	1	15
165	15	19	2	2	5
166	17	4	4	1	15
167	17	6	4	1	15
168	15	13	1	1	5
169	16	4	1	1	5
