number	floor	room#	type	size	duration(TW)
1	2	5	4	1	15
2	3	22	3	1	10
3	3	27	1	1	5
4	2	2	4	1	15
5	4	11	4	1	15
6	2	10	1	1	5
7	4	14	4	1	15
8	3	19	4	1	15
9	3	24	4	1	15
10	2	21	2	2	5
11	4	7	3	1	10
12	4	22	1	1	5
13	3	31	3	1	10
14	3	3	2	2	5
15	3	11	2	2	5
16	4	3	3	1	10
17	2	11	2	2	5
18	2	30	1	1	5
19	3	10	1	1	5
20	2	2	1	1	5
21	4	31	4	1	15
22	3	23	4	1	15
23	2	15	1	1	5
24	2	15	3	1	10
25	3	12	4	1	15
26	4	12	2	2	5
27	4	32	4	1	15
28	3	2	2	2	5
29	2	31	2	2	5
30	2	17	3	1	10
31	2	15	2	2	5
32	2	7	4	1	15
33	4	18	1	1	5
34	3	29	1	1	5
35	4	14	2	2	5
36	3	25	1	1	5
37	4	20	4	1	15
38	2	29	3	1	10
39	2	23	1	1	5
40	3	20	1	1	5
41	7	19	4	1	15
42	6	26	3	1	10
43	7	2	3	1	10
44	10	14	2	2	5
45	9	2	1	1	5
46	9	6	4	1	15
47	7	24	4	1	15
48	8	10	1	1	5
49	5	9	3	1	10
50	10	15	4	1	15
51	7	9	1	1	5
52	10	19	1	1	5
53	6	3	2	2	5
54	10	9	2	2	5
55	6	22	4	1	15
56	8	13	4	1	15
57	9	17	1	1	5
58	6	20	2	2	5
59	5	6	2	2	5
60	8	22	1	1	5
61	10	13	4	1	15
62	5	19	2	2	5
63	10	25	4	1	15
64	7	31	2	2	5
65	10	2	2	2	5
66	6	8	4	1	15
67	5	6	4	1	15
68	5	6	3	1	10
69	6	31	2	2	5
70	8	28	2	2	5
71	7	14	2	2	5
72	5	1	1	1	5
73	8	12	4	1	15
74	7	30	2	2	5
75	9	29	2	2	5
76	7	30	1	1	5
77	6	10	3	1	10
78	10	6	4	1	15
79	6	30	3	1	10
80	5	25	2	2	5
81	6	15	4	1	15
82	10	1	2	2	5
83	5	25	3	1	10
84	9	5	1	1	5
85	6	28	4	1	15
86	5	14	4	1	15
87	10	1	1	1	5
88	9	24	4	1	15
89	6	7	1	1	5
90	8	6	1	1	5
91	10	15	3	1	10
92	9	22	2	2	5
93	8	25	2	2	5
94	10	3	4	1	15
95	9	18	4	1	15
96	8	19	4	1	15
97	9	24	3	1	10
98	9	1	2	2	5
99	5	15	1	1	5
100	7	25	2	2	5
101	7	5	2	2	5
102	7	18	3	1	10
103	9	13	1	1	5
104	6	25	4	1	15
105	6	20	2	2	5
106	8	18	2	2	5
107	6	19	1	1	5
108	8	15	1	1	5
109	10	8	3	1	10
110	9	9	4	1	15
111	6	11	1	1	5
112	10	26	4	1	15
113	6	27	3	1	10
114	14	8	2	2	5
115	12	3	4	1	15
116	11	13	1	1	5
117	14	23	4	1	15
118	11	3	4	1	15
119	14	1	4	1	15
120	12	5	3	1	10
121	12	4	4	1	15
122	14	21	2	2	5
123	11	12	4	1	15
124	12	5	3	1	10
125	14	14	3	1	10
126	13	28	1	1	5
127	14	27	3	1	10
128	13	21	1	1	5
129	11	25	1	1	5
130	14	23	3	1	10
131	11	1	3	1	10
132	11	18	4	1	15
133	14	27	2	2	5
134	13	16	1	1	5
135	13	23	1	1	5
136	14	5	1	1	5
137	11	3	2	2	5
138	11	25	4	1	15
139	12	15	4	1	15
140	11	11	3	1	10
141	11	1	1	1	5
142	14	15	1	1	5
143	14	2	1	1	5
144	11	15	1	1	5
145	14	21	3	1	10
146	12	17	2	2	5
147	12	18	3	1	10
148	13	15	4	1	15
149	12	11	4	1	15
150	11	10	2	2	5
151	12	22	1	1	5
152	15	6	1	1	5
153	15	5	4	1	15
154	15	19	2	2	5
155	16	19	3	1	10
156	15	2	4	1	15
157	15	14	3	1	10
158	15	20	2	2	5
159	15	3	3	1	10
160	17	14	3	1	10
161	16	20	3	1	10
162	17	2	3	1	10
163	15	12	2	2	5
164	16	20	1	1	5
165	16	7	4	1	15
166	17	12	2	2	5
167	17	20	2	2	5
168	15	5	3	1	10
169	15	18	2	2	5
