number;floor;room#;type;size;service_time;duration;interval;
0;1;0;0;0;0;1000;0;
1;13;10;0;1;1;36.724584505603794;0; 
2;3;1;1;1;1;33.65944288841238;1.09; 
3;13;13;0;1;1;49.737583413489034;1.09; 
4;4;18;1;2;1;48.32312149115437;1.09; 
5;7;2;0;1;1;46.71720965726446;1.09; 
6;3;4;1;1;1;55.1460983220595;1.09; 
7;8;24;0;1;1;53.6997746770905;1.1; 
8;2;2;1;1;1;45.67056496807276;1.09; 
9;9;8;0;1;1;53.5491863618543;1.09; 
10;2;15;1;1;1;34.5576189524845;1.09; 
11;16;9;0;1;1;57.36668655092397;1.09; 
12;2;4;1;1;1;48.03930657402762;1.09; 
13;6;3;0;2;1;46.2434362121718;1.09; 
14;4;19;1;1;1;52.371023472195304;1.09; 
15;10;12;0;1;1;66.66742130068057;1.09; 
16;3;21;1;1;1;41.136341126508306;1.09; 
17;14;5;0;1;1;60.113171656494;1.09; 
18;3;10;1;1;1;60.193427104064355;1.1; 
19;13;1;0;1;1;49.61731225352359;1.09; 
20;3;14;1;1;1;65.91217854644931;1.09; 
21;5;3;0;2;1;43.04476429125993;1.09; 
22;4;6;1;1;1;65.17416466984102;1.09; 
23;12;19;0;1;1;81.27335002971294;1.09; 
24;2;8;1;1;1;65.49346034824786;1.09; 
25;13;6;0;1;1;57.77409378681608;1.09; 
26;4;11;1;1;1;70.50489458255156;1.09; 
27;11;17;0;1;1;72.43091944002414;1.09; 
28;4;17;1;2;1;56.60034071175416;1.09; 
29;10;9;0;1;1;68.0775020473531;1.1; 
30;2;5;1;1;1;74.87888434188855;1.09; 
31;16;1;0;1;1;65.10987849460744;1.09; 
32;4;23;1;1;1;70.44664107750529;1.09; 
33;9;2;0;2;1;83.01823027746893;1.09; 
34;4;4;1;1;1;81.04270212663883;1.09; 
35;8;6;0;1;1;84.82659979305247;1.09; 
36;3;9;1;1;1;67.34084217258956;1.09; 
37;10;13;0;1;1;82.33371388538336;1.09; 
38;4;3;1;1;1;71.16143180740497;1.09; 
39;11;4;0;1;1;65.09353519471954;1.09; 
40;3;8;1;1;1;85.61026409627505;1.1; 
41;16;10;0;1;1;90.76452745545953;1.09; 
42;4;22;1;1;1;96.90299375612511;1.09; 
43;13;11;0;1;1;83.9730450050719;1.09; 
44;3;5;1;2;1;80.07973477922981;1.09; 
45;8;15;0;1;1;84.21907272216416;1.09; 
46;4;16;1;1;1;101.81026010432765;1.09; 
47;12;9;0;1;1;97.20630492166768;1.09; 
48;4;20;1;1;1;97.25258010302241;1.09; 
49;10;7;0;1;1;95.17928553471023;1.09; 
50;4;8;1;1;1;87.50132410714785;1.09; 
51;13;12;0;1;1;94.84417550626992;1.1; 
52;2;20;1;1;1;107.63077981777536;1.09; 
53;7;24;0;1;1;104.03174067649094;1.09; 
54;4;9;1;1;1;84.5228609265746;1.09; 
55;6;6;0;1;1;96.65818227495734;1.09; 
56;2;13;1;1;1;99.37199855416695;1.09; 
57;7;13;0;1;1;114.20470489790466;1.09; 
58;2;11;1;1;1;100.79283744817141;1.09; 
59;7;3;0;1;1;97.75502631219292;1.09; 
60;2;24;1;2;1;104.56827246120997;1.09; 
61;10;17;0;1;1;104.15666357621564;1.09; 
62;4;13;1;2;1;103.35229842567536;1.1; 
63;8;17;0;1;1;119.02363661726741;1.09; 
64;2;10;1;1;1;110.77769589044263;1.09; 
65;10;4;0;1;1;140.44522797059273;1.09; 
66;4;21;1;1;1;114.75427197401177;1.09; 
67;9;13;0;1;1;114.47417340047298;1.09; 
68;2;21;1;1;1;124.43390052535617;1.09; 
69;13;18;0;1;1;108.1071269959794;1.09; 
70;4;12;1;1;1;117.82133306699345;1.09; 
71;5;21;0;1;1;126.67539377045465;1.09; 
72;4;2;1;1;1;103.23003713883531;1.09; 
73;14;18;0;2;1;115.10946676893933;1.1; 
74;3;2;1;1;1;112.23217428611298;1.09; 
75;7;15;0;2;1;114.31290940914576;1.09; 
76;3;3;1;1;1;146.09079846296143;1.09; 
77;5;22;0;1;1;130.26208435652387;1.09; 
78;2;6;1;2;1;145.3473155898387;1.09; 
79;7;4;0;1;1;112.2730650633335;1.09; 
80;3;11;1;1;1;125.43386123130344;1.09; 
81;12;5;0;1;1;140.84496422952182;1.09; 
82;2;17;1;1;1;130.55737545754693;1.09; 
83;13;17;0;1;1;134.36231236348772;1.09; 
84;3;19;1;1;1;120.77925357471202;1.1; 
85;6;2;0;1;1;137.83820680363425;1.09; 
86;2;9;1;2;1;139.14743633965153;1.09; 
87;13;20;0;2;1;132.01169256192722;1.09; 
88;4;7;1;1;1;142.68621336439872;1.09; 
89;6;18;0;1;1;134.74834201936798;1.09; 
90;3;13;1;1;1;119.96272084146085;1.09; 
91;5;19;0;2;1;137.7330179860945;1.09; 
92;4;10;1;1;1;156.02443748448724;1.09; 
93;16;8;0;1;1;159.55431213388346;1.09; 
94;4;1;1;2;1;148.53724749094792;1.09; 
95;7;17;0;1;1;147.0108587242759;1.1; 
96;3;17;1;1;1;143.8162753125918;1.09; 
97;12;17;0;1;1;137.923854703437;1.09; 
98;3;12;1;1;1;155.534375646921;1.09; 
99;5;8;0;1;1;161.1434159039559;1.09; 
100;3;22;1;1;1;152.0585595158332;1.09; 
101;11;9;0;1;1;138.59632511815255;1.09; 
102;3;6;1;1;1;166.5964155059575;1.09; 
103;11;14;0;1;1;156.4689612411985;1.09; 
104;3;15;1;1;1;155.90782179380972;1.09; 
105;8;3;0;1;1;173.43406679004653;1.09; 
106;4;15;1;1;1;136.87911416385492;1.1; 
107;9;20;0;1;1;151.2755283594778;1.09; 
108;2;3;1;1;1;147.71584871744912;1.09; 
109;6;13;0;1;1;149.39955673740536;1.09; 
110;2;18;1;2;1;151.6651400287816;1.09; 
