number	floor	room#	type	size	duration(TW)_1	duration(TW)_2
1	14	9	2	2	5	10
2	8	15	2	2	5	10
3	13	14	4	1	15	20
4	14	19	4	1	15	20
5	17	16	2	2	5	10
6	9	22	2	2	5	10
7	16	12	3	1	10	15
8	15	3	3	1	10	15
9	10	30	2	2	5	10
10	10	32	4	1	15	20
11	16	3	4	1	15	20
12	13	11	2	2	5	10
13	5	18	2	2	5	10
14	6	14	1	1	5	5
15	14	7	3	1	10	15
16	9	14	2	2	5	10
17	5	8	2	2	5	10
18	12	6	1	1	5	5
19	13	27	4	1	15	20
20	5	21	3	1	10	15
21	6	19	4	1	15	20
22	7	20	4	1	15	20
23	5	15	1	1	5	5
24	7	20	1	1	5	5
25	8	7	1	1	5	5
26	9	28	4	1	15	20
27	7	13	2	2	5	10
28	10	6	1	1	5	5
29	11	10	2	2	5	10
30	12	26	4	1	15	20
31	7	23	2	2	5	10
32	8	10	2	2	5	10
33	8	29	4	1	15	20
34	16	6	3	1	10	15
35	8	3	3	1	10	15
36	11	14	3	1	10	15
37	17	19	2	2	5	10
38	11	6	1	1	5	5
39	7	1	1	1	5	5
40	7	25	1	1	5	5
41	11	19	2	2	5	10
42	8	17	2	2	5	10
43	5	14	4	1	15	20
44	15	17	3	1	10	15
45	13	17	4	1	15	20
46	12	11	2	2	5	10
47	12	8	2	2	5	10
48	15	3	1	1	5	5
49	6	6	4	1	15	20
50	11	25	4	1	15	20
51	13	28	1	1	5	5
52	14	6	4	1	15	20
53	16	10	4	1	15	20
54	15	28	3	1	10	15
55	9	20	4	1	15	20
56	6	27	2	2	5	10
57	13	24	4	1	15	20
58	10	18	4	1	15	20
59	7	18	2	2	5	10
60	10	24	3	1	10	15
61	16	1	1	1	5	5
62	17	16	1	1	5	5
63	13	15	4	1	15	20
64	10	27	2	2	5	10
65	17	12	2	2	5	10
66	8	1	4	1	15	20
67	12	2	1	1	5	5
68	14	28	1	1	5	5
69	10	15	2	2	5	10
70	9	31	3	1	10	15
71	13	20	4	1	15	20
72	12	20	3	1	10	15
73	10	29	1	1	5	5
74	4	29	3	1	10	15
75	14	21	1	1	5	5
76	14	21	3	1	10	15
77	8	8	3	1	10	15
78	4	4	1	1	5	5
79	13	20	4	1	15	20
80	9	29	2	2	5	10
81	13	9	3	1	10	15
82	12	4	3	1	10	15
83	13	4	1	1	5	5
84	14	26	3	1	10	15
85	11	25	1	1	5	5
86	15	17	1	1	5	5
87	7	29	2	2	5	10
88	11	5	1	1	5	5
89	8	17	1	1	5	5
90	15	30	3	1	10	15
91	16	15	2	2	5	10
92	16	6	1	1	5	5
93	13	14	1	1	5	5
94	5	11	3	1	10	15
95	16	6	2	2	5	10
96	17	2	3	1	10	15
97	3	11	4	1	15	20
98	2	21	2	2	5	10
99	6	20	4	1	15	20
100	2	8	4	1	15	20
101	10	15	3	1	10	15
102	6	21	2	2	5	10
103	10	8	4	1	15	20
104	9	16	1	1	5	5
105	16	19	1	1	5	5
106	6	13	2	2	5	10
107	4	9	1	1	5	5
108	7	20	3	1	10	15
109	7	11	2	2	5	10
110	8	29	4	1	15	20
111	12	2	3	1	10	15
112	17	18	2	2	5	10
113	13	21	2	2	5	10
114	16	12	4	1	15	20
115	3	31	1	1	5	5
116	15	15	3	1	10	15
117	7	28	1	1	5	5
118	13	8	1	1	5	5
119	13	1	3	1	10	15
120	12	3	4	1	15	20
121	3	23	1	1	5	5
122	17	12	3	1	10	15
123	14	9	4	1	15	20
124	12	13	1	1	5	5
125	10	22	1	1	5	5
126	7	19	2	2	5	10
127	12	6	4	1	15	20
128	13	27	4	1	15	20
129	8	3	3	1	10	15
130	16	10	3	1	10	15
131	16	15	3	1	10	15
132	14	9	3	1	10	15
133	9	3	3	1	10	15
134	8	8	3	1	10	15
135	17	18	1	1	5	5
136	17	2	3	1	10	15
137	9	22	2	2	5	10
138	9	27	4	1	15	20
139	8	25	2	2	5	10
140	13	1	3	1	10	15
141	12	14	3	1	10	15
142	7	22	4	1	15	20
143	2	11	3	1	10	15
144	17	18	4	1	15	20
145	3	19	4	1	15	20
146	17	17	2	2	5	10
147	4	1	1	1	5	5
148	4	6	1	1	5	5
149	9	28	2	2	5	10
150	13	14	2	2	5	10
151	2	18	2	2	5	10
152	12	5	1	1	5	5
153	5	23	1	1	5	5
154	2	6	1	1	5	5
155	5	7	3	1	10	15
156	2	10	3	1	10	15
157	14	16	2	2	5	10
158	10	4	3	1	10	15
159	16	3	1	1	5	5
160	2	16	2	2	5	10
161	14	9	2	2	5	10
162	8	25	4	1	15	20
163	10	7	3	1	10	15
164	16	4	3	1	10	15
165	12	12	2	2	5	10
166	15	4	3	1	10	15
167	9	22	2	2	5	10
168	8	19	4	1	15	20
