number	floor	room#	type	size	duration(TW)
1	2	27	3	1	10
2	2	17	4	1	15
3	2	12	1	1	5
4	3	17	2	2	5
5	3	8	3	1	10
6	3	25	2	2	5
7	2	21	4	1	15
8	3	15	4	1	15
9	4	3	2	2	5
10	4	3	3	1	10
11	2	10	4	1	15
12	2	16	1	1	5
13	3	26	3	1	10
14	3	25	1	1	5
15	4	7	3	1	10
16	4	3	1	1	5
17	4	9	3	1	10
18	3	3	2	2	5
19	4	9	4	1	15
20	4	12	1	1	5
21	2	13	3	1	10
22	4	27	3	1	10
23	2	17	4	1	15
24	10	13	3	1	10
25	5	13	3	1	10
26	5	24	1	1	5
27	5	12	4	1	15
28	8	11	1	1	5
29	9	1	3	1	10
30	9	8	4	1	15
31	8	31	3	1	10
32	6	18	1	1	5
33	7	11	4	1	15
34	9	24	3	1	10
35	8	13	1	1	5
36	6	10	4	1	15
37	8	4	2	2	5
38	10	2	4	1	15
39	7	26	4	1	15
40	6	26	4	1	15
41	7	1	4	1	15
42	5	9	1	1	5
43	6	18	2	2	5
44	10	24	2	2	5
45	6	5	2	2	5
46	6	26	3	1	10
47	5	3	3	1	10
48	7	20	4	1	15
49	5	13	2	2	5
50	6	19	1	1	5
51	8	20	4	1	15
52	9	14	2	2	5
53	10	13	3	1	10
54	10	28	4	1	15
55	10	27	2	2	5
56	9	1	1	1	5
57	6	7	3	1	10
58	5	18	1	1	5
59	7	24	2	2	5
60	9	27	2	2	5
61	7	2	2	2	5
62	8	14	4	1	15
63	5	31	2	2	5
64	7	24	1	1	5
65	5	21	2	2	5
66	8	1	2	2	5
67	6	3	1	1	5
68	6	27	2	2	5
69	10	5	4	1	15
70	9	15	1	1	5
71	5	26	2	2	5
72	6	10	3	1	10
73	7	15	3	1	10
74	7	18	4	1	15
75	6	22	4	1	15
76	6	11	4	1	15
77	8	19	2	2	5
78	8	19	2	2	5
79	5	3	4	1	15
80	5	5	3	1	10
81	6	29	1	1	5
82	5	11	1	1	5
83	7	18	1	1	5
84	10	11	3	1	10
85	5	16	1	1	5
86	10	27	2	2	5
87	5	23	2	2	5
88	9	13	1	1	5
89	6	17	2	2	5
90	5	21	1	1	5
91	6	28	1	1	5
92	7	16	2	2	5
93	8	28	4	1	15
94	6	11	4	1	15
95	9	2	3	1	10
96	9	7	4	1	15
97	9	1	3	1	10
98	10	18	1	1	5
99	6	10	1	1	5
100	10	11	2	2	5
101	7	21	3	1	10
102	5	20	1	1	5
103	9	29	2	2	5
104	6	10	2	2	5
105	10	31	1	1	5
106	7	29	4	1	15
107	14	4	4	1	15
108	13	12	3	1	10
109	14	6	4	1	15
110	12	5	1	1	5
111	12	16	4	1	15
112	11	1	2	2	5
113	13	13	1	1	5
114	12	3	4	1	15
115	11	6	2	2	5
116	14	20	1	1	5
117	12	27	3	1	10
118	14	28	4	1	15
119	13	10	4	1	15
120	14	17	2	2	5
121	14	13	4	1	15
122	14	13	4	1	15
123	14	27	4	1	15
124	12	12	2	2	5
125	11	4	4	1	15
126	11	19	3	1	10
127	14	7	1	1	5
128	13	5	3	1	10
129	13	24	2	2	5
130	14	4	1	1	5
131	11	7	3	1	10
132	12	26	2	2	5
133	13	19	4	1	15
134	12	12	1	1	5
135	13	5	4	1	15
136	13	28	4	1	15
137	13	3	1	1	5
138	12	21	2	2	5
139	14	10	1	1	5
140	12	4	3	1	10
141	12	12	4	1	15
142	13	27	4	1	15
143	11	1	4	1	15
144	14	4	4	1	15
145	12	14	3	1	10
146	11	8	2	2	5
147	11	3	4	1	15
148	12	7	3	1	10
149	13	25	3	1	10
150	16	15	3	1	10
151	15	10	2	2	5
152	15	7	2	2	5
153	17	1	3	1	10
154	16	16	4	1	15
155	15	7	4	1	15
156	17	3	2	2	5
157	15	17	1	1	5
158	17	14	2	2	5
159	15	14	3	1	10
160	17	7	3	1	10
161	17	11	3	1	10
162	16	14	2	2	5
163	17	15	1	1	5
164	15	1	1	1	5
165	15	17	1	1	5
166	15	16	3	1	10
167	15	15	1	1	5
168	16	16	3	1	10
169	16	19	2	2	5
