number;floor;room#;type;size;service_time;duration;interval;
0;1;0;0;0;0;1000;0;
1;15;3;0;2;1;40.25939623006221;0; 
2;3;4;1;1;1;54.63069374682348;1.09; 
3;12;4;0;1;1;40.424356000618204;1.09; 
4;4;10;1;1;1;41.21628090307009;1.09; 
5;13;17;0;1;1;37.31187659627722;1.09; 
6;4;19;1;1;1;50.62746003946079;1.09; 
7;10;6;0;1;1;48.330326642472166;1.1; 
8;4;7;1;1;1;47.22866382415009;1.09; 
9;14;19;0;2;1;34.78168460110823;1.09; 
10;3;3;1;1;1;40.06865151113172;1.09; 
11;16;5;0;1;1;49.59976465609151;1.09; 
12;2;5;1;1;1;45.50907656394422;1.09; 
13;12;11;0;1;1;38.46708953358366;1.09; 
14;4;13;1;1;1;53.90558963607049;1.09; 
15;14;12;0;1;1;52.460483000064;1.09; 
16;2;16;1;1;1;69.66745705330713;1.09; 
17;10;1;0;1;1;50.90601855584367;1.09; 
18;4;18;1;1;1;58.696857654644674;1.1; 
19;11;18;0;1;1;46.43965670022573;1.09; 
20;3;13;1;2;1;55.22936465504323;1.09; 
21;8;12;0;1;1;45.46218950004432;1.09; 
22;2;18;1;2;1;52.16247081541897;1.09; 
23;16;3;0;2;1;71.56885805804349;1.09; 
24;3;8;1;1;1;58.91036237263242;1.09; 
25;7;24;0;1;1;57.88103854093134;1.09; 
26;2;8;1;1;1;57.780262030028965;1.09; 
27;12;9;0;1;1;64.87872656675859;1.09; 
28;2;13;1;1;1;64.95374944716123;1.09; 
29;8;21;0;1;1;74.7770766048407;1.1; 
30;3;23;1;2;1;64.980773293109;1.09; 
31;12;10;0;1;1;66.81745618103776;1.09; 
32;4;4;1;1;1;71.27434779159734;1.09; 
33;10;15;0;1;1;89.49265454690745;1.09; 
34;4;24;1;2;1;85.31536323296093;1.09; 
35;16;10;0;2;1;83.92206707541416;1.09; 
36;3;2;1;1;1;68.17035169767861;1.09; 
37;9;7;0;1;1;83.68419154556153;1.09; 
38;3;22;1;2;1;78.08572885931684;1.09; 
39;6;24;0;1;1;84.85817539463716;1.09; 
40;3;9;1;1;1;72.69859667609933;1.1; 
41;13;16;0;1;1;73.3062568270187;1.09; 
42;4;22;1;2;1;76.1615076728858;1.09; 
43;8;18;0;1;1;86.32111516339097;1.09; 
44;3;20;1;1;1;92.79923517708531;1.09; 
45;5;12;0;1;1;88.54437298274087;1.09; 
46;4;16;1;1;1;72.08499523585016;1.09; 
47;7;18;0;1;1;94.53972409329982;1.09; 
48;2;6;1;1;1;89.94955624028624;1.09; 
49;10;3;0;1;1;84.91980942439942;1.09; 
50;2;15;1;2;1;82.69818032370867;1.09; 
51;15;13;0;1;1;88.44117145236604;1.1; 
52;3;12;1;1;1;106.00417831307188;1.09; 
53;11;5;0;1;1;88.97806489391121;1.09; 
54;4;2;1;1;1;109.28647853619518;1.09; 
55;7;10;0;2;1;99.83882520450459;1.09; 
56;2;12;1;1;1;106.93881181677376;1.09; 
57;14;8;0;1;1;105.85125127006849;1.09; 
58;3;24;1;1;1;105.36057014409667;1.09; 
59;6;6;0;1;1;111.62386386015908;1.09; 
60;4;9;1;2;1;117.89827427968564;1.09; 
61;6;14;0;1;1;111.6704139235226;1.09; 
62;2;4;1;2;1;112.15184608565954;1.1; 
63;9;21;0;1;1;100.1577770506797;1.09; 
64;3;14;1;2;1;108.12135001148276;1.09; 
65;8;13;0;1;1;110.20754698532029;1.09; 
66;2;19;1;1;1;113.77612736229119;1.09; 
