number	floor	room#	type	size	duration(TW)_1	duration(TW)_2
1	5	11	1	1	5	5
2	5	14	3	1	10	15
3	6	17	2	2	5	10
4	6	26	4	1	15	20
5	11	20	3	1	10	15
6	13	12	1	1	5	5
7	12	9	4	1	15	20
8	11	20	3	1	10	15
9	7	6	2	2	5	10
10	13	22	1	1	5	5
11	12	28	2	2	5	10
12	8	17	4	1	15	20
13	12	10	1	1	5	5
14	17	12	4	1	15	20
15	9	23	1	1	5	5
16	14	8	4	1	15	20
17	12	2	3	1	10	15
18	10	31	4	1	15	20
19	14	7	1	1	5	5
20	11	16	1	1	5	5
21	12	18	4	1	15	20
22	9	14	2	2	5	10
23	10	6	4	1	15	20
24	8	21	2	2	5	10
25	8	11	4	1	15	20
26	13	13	3	1	10	15
27	12	5	3	1	10	15
28	7	8	2	2	5	10
29	7	8	2	2	5	10
30	17	6	4	1	15	20
31	8	13	2	2	5	10
32	7	19	4	1	15	20
33	12	27	2	2	5	10
34	13	1	2	2	5	10
35	13	4	2	2	5	10
36	15	11	2	2	5	10
37	13	11	2	2	5	10
38	7	10	2	2	5	10
39	14	19	3	1	10	15
40	14	3	1	1	5	5
41	9	2	3	1	10	15
42	17	6	1	1	5	5
43	9	14	3	1	10	15
44	10	17	4	1	15	20
45	16	11	3	1	10	15
46	7	12	3	1	10	15
47	5	20	3	1	10	15
48	6	12	4	1	15	20
49	10	24	1	1	5	5
50	17	8	4	1	15	20
51	15	15	3	1	10	15
52	17	11	1	1	5	5
53	7	29	2	2	5	10
54	7	21	4	1	15	20
55	16	2	4	1	15	20
56	12	14	2	2	5	10
57	11	26	3	1	10	15
58	5	17	2	2	5	10
59	12	17	1	1	5	5
60	8	23	1	1	5	5
61	12	28	2	2	5	10
62	16	1	4	1	15	20
63	11	3	4	1	15	20
64	16	25	2	2	5	10
65	16	16	3	1	10	15
66	5	5	2	2	5	10
67	12	22	3	1	10	15
68	17	20	1	1	5	5
69	16	12	4	1	15	20
70	11	12	3	1	10	15
71	17	3	3	1	10	15
72	15	1	2	2	5	10
73	6	29	1	1	5	5
74	17	21	3	1	10	15
75	15	18	2	2	5	10
76	9	30	1	1	5	5
77	14	5	4	1	15	20
78	9	17	4	1	15	20
79	5	15	3	1	10	15
80	16	12	3	1	10	15
81	13	20	4	1	15	20
82	5	16	3	1	10	15
83	6	31	4	1	15	20
84	12	13	2	2	5	10
85	6	23	3	1	10	15
86	5	3	3	1	10	15
87	17	17	2	2	5	10
88	10	1	4	1	15	20
89	13	32	3	1	10	15
90	16	8	1	1	5	5
91	6	12	1	1	5	5
92	10	10	1	1	5	5
93	5	30	4	1	15	20
94	13	2	1	1	5	5
95	10	11	4	1	15	20
96	12	3	4	1	15	20
97	13	4	1	1	5	5
98	3	22	2	2	5	10
99	9	28	2	2	5	10
100	10	11	3	1	10	15
101	10	30	1	1	5	5
102	5	18	2	2	5	10
103	7	26	1	1	5	5
104	3	18	3	1	10	15
105	14	9	1	1	5	5
106	8	32	3	1	10	15
107	9	7	1	1	5	5
108	6	1	2	2	5	10
109	9	26	3	1	10	15
110	2	32	3	1	10	15
111	15	11	2	2	5	10
112	2	5	4	1	15	20
113	16	2	3	1	10	15
114	10	26	1	1	5	5
115	4	23	2	2	5	10
116	15	15	3	1	10	15
117	8	27	1	1	5	5
118	8	1	4	1	15	20
119	15	17	2	2	5	10
120	4	27	3	1	10	15
121	2	13	1	1	5	5
122	11	19	3	1	10	15
123	5	31	2	2	5	10
124	15	18	2	2	5	10
125	12	8	2	2	5	10
126	10	28	1	1	5	5
127	17	8	1	1	5	5
128	4	7	3	1	10	15
129	4	4	4	1	15	20
130	7	11	1	1	5	5
131	5	29	3	1	10	15
132	6	25	1	1	5	5
133	2	7	2	2	5	10
134	16	4	1	1	5	5
135	2	16	2	2	5	10
136	14	10	1	1	5	5
137	17	17	2	2	5	10
138	5	11	4	1	15	20
139	5	8	2	2	5	10
140	6	15	2	2	5	10
141	4	8	4	1	15	20
142	13	6	1	1	5	5
143	17	15	3	1	10	15
144	7	20	4	1	15	20
145	16	2	1	1	5	5
146	4	3	3	1	10	15
147	4	14	3	1	10	15
148	7	32	1	1	5	5
149	9	14	1	1	5	5
150	9	8	1	1	5	5
151	14	16	4	1	15	20
152	11	1	2	2	5	10
153	6	6	4	1	15	20
154	5	5	3	1	10	15
155	15	15	1	1	5	5
156	11	8	1	1	5	5
157	3	15	3	1	10	15
158	14	24	4	1	15	20
159	5	2	4	1	15	20
160	15	2	1	1	5	5
161	14	14	1	1	5	5
162	2	1	4	1	15	20
163	13	27	3	1	10	15
164	4	31	1	1	5	5
165	16	4	4	1	15	20
166	16	18	3	1	10	15
167	5	28	1	1	5	5
168	17	19	2	2	5	10
